aor|apprehension_landmark|n
ATL|LEXINGTON COUNTY, SC|313
ATL|LEXINGTON, GA|2
ATL|LEXINGTON, NC|45
ATL|LIBERTY COUNTY, GA|17
ATL|LILBURN, GA|29
ATL|LINCOLN CO PROBATION LINCOLNTON|1
ATL|LINCOLN COUNTY JAIL|13
ATL|LINCOLN COUNTY, NC|1
ATL|LITHONIA, GA|8
ATL|LOCUST GROVE, GA|3
ATL|LOGANVILLE, GA|14
ATL|LONG COUNTY GA|2
ATL|LONG COUNTY, GA|1
ATL|LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC|1
ATL|LOUISVILLE, GA|2
ATL|LOVEJOY, GA|8
ATL|LOWNDES COUNTY JAIL, GA|47
ATL|LOWNDES COUNTY, GA|2
ATL|LRD GENERAL AREA, NON-SPECIFIC|1
ATL|LUDOWICI, GA|1
ATL|LUMPKIN COUNTY, GA|6
ATL|LUMPKIN, GA (DAWSON COUNTY)|1
ATL|LUMPKIN, GA (STEWART COUNTY)|7
ATL|LYONS, GA|1
ATL|MACDOUGALL CORRECTIONAL INSTITUTION|12
ATL|MACON COUNTY JAIL|8
ATL|MACON COUNTY, GA|2
ATL|MACON COUNTY, NC|5
ATL|MACON PROBATION OFFICE|1
ATL|MACON, GA|11
ATL|MADISON COUNTY JAIL|1
ATL|MADISON COUNTY, GA|5
ATL|MADISON COUNTY, NC|1
ATL|MADISON, GA|4
ATL|MARIETTA MUNICIPAL PROBATION|1
ATL|MARIETTA PROBATION OFFICE|3
ATL|MARIETTA, GA|126
ATL|MARION COUNTY DETENTION CENTER|32
ATL|MARION COUNTY JAIL, GA|2
ATL|MARION COUNTY, SC|1
ATL|MARLBORO COUNTY, SC|12
ATL|MARTIN COUNTY FUGITIVE OPERATIONS|1
ATL|MCCORMICK COUNTY, SC|4
ATL|MCDONOUGH MUNICIPAL PROBATION|1
ATL|MCDONOUGH PROBATION OFFICE|2
ATL|MCDONOUGH, GA|16
ATL|MCDOWELL COUNTY JAIL|4
ATL|MCDOWELL COUNTY, NC|19
ATL|MCDUFFIE COUNTY, GA|3
ATL|MCINTOSH COUNTY, GA|26
ATL|MCRAE FCI, MCRAE, GEORGIA|4
ATL|MCRAE FED, GA|480
ATL|MCRAE, GA|1
ATL|MECKLENBURG CO PROBATION E 4TH ST CLT|2
ATL|MECKLENBURG CO PROBATION EXEC CTR DRIVE|1
ATL|MECKLENBURG COUNTY JAIL|21
ATL|MECKLENBURG COUNTY JAIL 287G|807
ATL|MECKLENBURG COUNTY, NC|1604
ATL|MERIWETHER COUNTY, GA|4
ATL|MIA GENERAL AREA, NON-SPECIFIC|1
ATL|MILLEDGEVILLE, GA|7
ATL|MILLEN, GA|1
ATL|MILLER COUNTY JAIL, GA|1
ATL|MILTON, GA|2
ATL|MITCHELL COUNTY JAIL, GA|1
ATL|MITCHELL COUNTY, NC|5
ATL|MOCKSVILLE, NC|10
ATL|MONROE COUNTY, GA|4
ATL|MONROE PROBATION OFFICE|1
ATL|MONROE, GA|4
ATL|MONTGOMERY COUNTY JAIL|17
ATL|MONTGOMERY COUNTY, NC|5
ATL|MONTICELLO, GA|1
ATL|MOORE CO PROBATION MONROE ST CARTHAGE|1
ATL|MOORE COUNTY JAIL|8
ATL|MOORE COUNTY JAIL, NC|1
ATL|MOORE COUNTY, NC|7
ATL|MORGAN COUNTY, GA|6
ATL|MORGAN, GA (CALHOUN COUNTY)|1
ATL|MORGANTON, NC|16
ATL|MORROW PROBATION OFFICE|6
ATL|MORROW, GA (CLAYTON COUNTY)|16
ATL|MOULTRIE PROBATION OFFICE|2
ATL|MOULTRIE, GA|34
ATL|MOUNT AIRY, NC|16
ATL|MOUNT ZION, GA (CARROLL COUNTY)|1
ATL|MURRAY COUNTY, GA|7
ATL|MUSCOGEE COUNTY JAIL, GA|63
ATL|"NASH COUN TY JAIL"|1
ATL|"NASH COUNTY FUGITIVE OPERATIONS"|16
ATL|"NASH COUNTY JAIL"|35
ATL|"NASH COUNTY PROBATION NASHVILLE, NC"|1
ATL|"NASH COUNTY SHERIFF'S OFFICE"|1
ATL|NC DEPARTMENT OF CORRECTIONS|376
ATL|NC DEPT OF CORRECTIONS FACILITY|178
ATL|NEVADA DEPARTMENT OF CORRECTIONS|1
ATL|NEW HANOVER COUNTY FUGITIVE OPERATIONS|7
