"","apprehension_landmark","total"
"33","287(G)-CLAY COUNTY SHERIFF'S OFFICE",49
"34","287(G)-KNOX COUNTY SHERIFF'S OFFICE",67
"35","287(G)-PASCO COUNTY SHERIFF'S OFFICE",114
"36","287g",27
"37","287G COLLIER FMY ERO PROGRAM",1928
"38","2A DISTRICT COURT PROBATION, ADRIAN",1
"39","30TH CIRCUIT COURT FAMILY DIVISION, LANSING",1
"40","30TH CIRCUIT COURT, LANSING, MICHIGAN",2
"41","30TH DISTRICT COURT PROBATION, HIGHLAND PARK",1
"42","33RD DISTRICT COURT PROBATION, WOODHAVEN",3
"43","35TH DISTRICT COURT PROBATION, PLYMOUTH",1
"44","36TH DISTRICT COURT PROBATION, DETROIT",6
"45","37TH DISTRICT COURT PROBATION, WARREN",2
"46","39A DISTRICT COURT PROBATION, ROSEVILLE",1
"47","39TH CIRCUIT COURT PROBATION OFFICE, ADRIAN",4
"48","3RD CIRCUIT COURT PROBATION, LINCOLN PARK OFFICE, DETROIT",2
"49","40TH DISTRICT COURT PROBATION, ST. CLAIR SHORES",1
"50","41A DISTRICT COURT PROBATION, STERLING HEIGHTS",1
"51","41B DISTRICT COURT PROBATION, CLINTON TOWNSHIP",1
"52","42-2 DISTRICT COURT PROBATION, NEW BALTIMORE",1
"53","44TH DISTRICT COURT PROBATION, ROYAL OAK",1
"54","46TH DISTRICT COURT PROBATION, SOUTHFIELD",1
"55","47TH DISTRICT COURT PROBATION, FARMINGTON HILLS",1
"56","48TH DISTRICT COURT PROBATION, BLOOMFIELD HILLS",2
"57","50TH DISTRICT COURT PROBATION, PONTIAC",2
"58","52-1 DISTRICT COURT PROBATION, NOVI",12
"59","52-2 DISTRICT COURT PROBATION, CLARKSTON",2
"60","52-3 DISTRICT COURT PROBATION, ROCHESTER HILLS",5
"61","52-4 DISTRICT COURT PROBATION, TROY",3
"62","53RD DISTRICT COURT PROBATION, HOWELL",2
"63","54A DISTRICT COURT, LANSING, MICHIGAN",1
"64","54B DISTRICT COURT, EAST LANSING, MICHIGAN",2
"65","54TH CIRCUIT COURT PROBATION OFFICE, CARO",1
"66","56A DISTRICT COURT, CHARLOTTE, MICHIGAN",3
"67","56TH CIRCUIT COURT PROBATION",1
"68","60TH DISTRICT COURT PROBATION, MUSKEGON, MICHIGAN",1
"69","61ST DISTRICT COURT PROBATION",9
"70","61ST DISTRICT COURT, GRAND RAPIDS, MI",9
"71","62-A DISTRCIT COURT, WYOMING, MI",7
"72","62A DISTRICT COURT PROBATION, WYOMING, MI",17
"73","62B DISTRICT COURT PROBATION, KENTWOOD, MI",1
"74","63RD DISTRICT COURT PROBATION, GRAND RAPIDS",9
"75","70TH DISTRICT COURT PROBATION, SAGINAW",1
"76","77TH ST REGIONAL JAIL, LAPD",2
"77","78TH DISTRICT COURT PROBATION, OCEANA COUNTY",1
"78","86TH DISTRICT COURT PROBATION, LEELANAU COUNTY",2
"79","87B DISTRICT COURT PROBATION, KALKASAK COUNTY",1
"80","A - CALUMET COUNTY GENERAL AREA",5
"81","A - CALUMET COUNTY JAIL",24
"82","A - DODGE COUNTY GENERAL AREA",9
"83","A - DODGE COUNTY JAIL",26
"84","A - ERO-MIL KNAPP ST OFFICE",2
"85","A - FOND DU LAC COUNTY GENERAL AREA",10
"86","A - FOND DU LAC COUNTY JAIL",22
"87","A - GREEN LAKE COUNTY JAIL",1
"88","A - KENOSHA COUNTY GENERAL AREA",18
"89","A - KENOSHA COUNTY JAIL",69
"90","A - MANITOWOC COUNTY GENERAL AREA",2
"91","A - MANITOWOC COUNTY JAIL",20
"92","A - MILWAUKEE COUNTY HOUSE OF CORRECTIONS (HOC)",30
"93","A - MILWAUKEE COUNTY JAIL (CJF)",142
"94","A - OZAUKEE COUNTY GENERAL AREA",4
"95","A - OZAUKEE COUNTY JAIL",16
"96","A - RACINE COUNTY GENERAL AREA",31
"97","A - RACINE COUNTY JAIL",50
"98","A - SHEBOYGAN COUNTY DETENTION CENTER",17
"99","A - SHEBOYGAN COUNTY GENERAL AREA",9
"100","A - SHEBOYGAN COUNTY JAIL",42
"101","A - U.S. MARSHALL - EASTERN DISTRICT OF WISCONSIN",11
"102","A - WALWORTH COUNTY GENERAL AREA",16
"103","A - WALWORTH COUNTY JAIL",86
"104","A - WASHINGTON COUNTY GENERAL AREA",8
"105","A - WASHINGTON COUNTY JAIL",13
"106","A - WAUKESHA COUNTY GENERAL AREA",46
"107","A - WAUKESHA COUNTY JAIL",55
"108","A - WAUSHARA COUNTY GENERAL AREA",1
"109","A - WAUSHARA COUNTY JAIL",17
"110","A - WI DOC - DODGE CORRECTIONAL INSTITUTION",11
"111","A - WI DOC - FOX LAKE CORRECTIONAL INSTITUTION",3
"112","A - WI DOC - MILWAUKEE SECURE DETENTION FACILITY",2
"113","A - WI DOC - RACINE CORRECTIONAL INSTITUTION",232
"114","A - WI DOC - RED GRANITE CORRECTIONAL INSTITUTION",1
"115","A - WI DOC - TAYCHEEDAH CORRECTIONAL INSTITUTION",4
"116","A - WI DOC - WISCONSIN RESCOURCE CENTER",1
"117","A - WI DOC OSHKOSH CORRECTIONAL INSTITUTION",2
"118","A - WI DOC-RACINE CORRECTIONAL INSTITUTION",1
"119","A - WINNEBAGO COUNTY GENERAL AREA",1
"120","A - WINNEBAGO COUNTY JAIL",20
"121","A-Washington County Jail",5
"122","AB4 REFERRAL RIVERSIDE COUNTY",18
"123","AB4 REFERRAL SAN BERNARDINO COUNTY",34
"124","ABBEVILLE COUNTY",1
"125","ABBEVILLE COUNTY DETENTION CENTER",2
"126","ABBEVILLE, GA",2
"127","ABERDEEN CITY JAIL, WA",11
"128","ABERDEEN PROVING GROUND POLICE",1
"129","ABERDEEN TWP PD",6
"130","ABQ GENERAL AREA, NON-SPECIFIC",347
"131","ABRAM CURVE TO CHIMNEY PARK",1
"132","ABSECON POLICE DEPARTMENT",2
"133","ABT GENERAL AREA, NON-SPECIFIC",1
"134","ACADIA PARISH JAIL",1
"135","ACCOMACK COUNTY JAIL VA",67
"136","ACWORTH POLICE DEPARTMENT",5
"137","ACWORTH, GA",16
"138","ADA COUNTY COURTHOUSE",1
"139","ADA COUNTY FELONY PROBATION OFFICE ID",1
"140","ADA COUNTY GENERAL AREA ID",18
"141","ADA COUNTY JAIL ID",90
"142","ADA COUNTY MISDEMEANOR PROBATION OFFICE ID",1
"143","ADAIR COUNTY IOWA",2
"144","ADAIR COUNTY JAIL",33
"145","ADAIR COUNTY JAIL, KY",1
"146","ADAIR COUNTY REGIONAL JAIL, KY",8
"147","ADAIR COUNTY SHERIFF'S DEPARTMENT, MISSOURI",2
"148","ADAIRSVILLE, GA",1
"149","ADAMS CO. JAIL",26
"150","Adams County",35
"151","ADAMS COUNTY",285
"152","Adams County Correctional Center",1188
"153","ADAMS COUNTY CORRECTIONAL CENTER, NATCHEZ, MS",216
"154","ADAMS COUNTY IOWA",1
"155","ADAMS COUNTY JAIL",821
"156","ADAMS COUNTY JAIL, NE",8
"157","ADAMS COUNTY MISDEMEANOR PROBATION OFFICE ID",2
"158","Adams County Probation",58
"159","ADAMS COUNTY PROBATION",8
"160","ADAMS COUNTY PROBATION OFFICE",97
"161","ADAMS COUNTY SHERIFF'S OFFICE",12
"162","ADAMS COUNTY, MS",1
"163","ADAMS YOUTH SERVICES CENTER",1
"164","ADC CUMMINS UNIT",20
"165","ADC DELTA REGIONAL UNIT",12
"166","ADC DIAGNOSTIC UNIT",6
"167","ADC EAST ARKANSAS REGIONAL UNIT",7
"168","ADC GRIMES UNIT",32
"169","ADC MCPHERSON UNIT",5
"170","ADC NORTH CENTRAL UNIT",14
"171","ADC OUACHITA RIVER UNIT",37
"172","ADC RANDALL L. WILLIAMS UNIT",10
"173","ADC TUCKER UNIT",12
"174","ADC VARNER UNIT",19
"175","ADC WRIGHTSVILLE UNIT",15
"176","ADDISON CITY JAIL",47
"177","ADE GENERAL AREA, NON-SPECIFIC",1773
"178","ADELANTO CCF (STATE) ADELANTO, CA",4
"179","ADELANTO, CA ICE FACILITY",393
"180","ADRIAN, GA",1
"181","ADULT DIAGNOSTIC AND TREATMENT CENTER",67
"182","ADULT PROBATIONS AND PAROLE",2
"183","AGA GENERAL AREA, NON-SPECIFIC",251
"184","AGU GENERAL AREA, NON-SPECIFIC",20
"185","AGUADILLA, PUERTO RICO",1
"186","AIBONITO, PR/ BOOKING STATION",1
"187","AIKEN COUNTY, SC",151
"188","AIRWAY HEIGHTS",114
"189","AK PROBATION ANCHORAGE",3
"190","AL State at-large",26
"191","AL State Probation Mobile, AL",1
"192","ALACHUA COUNTY PROBATION & PAROLE",6
"193","ALAMANCE COUNTY JAIL",73
"194","ALAMANCE COUNTY JAIL, NC",6
"195","ALAMANCE COUNTY, NC",6
"196","ALAMEDA CITY JAIL",1
"197","ALAMEDA COUNTY JAIL - GLENN E. DYER DETENTION FACILITY",58
"198","ALAMEDA COUNTY JAIL - SANTA RITA",645
"199","ALAMO CITY JAIL TX - TX1080100",45
"200","ALAMO, GA",1
"201","ALAMOGORDO, NEW MEXICO",1
"202","ALAMOSA COUNTY",11
"203","ALAMOSA COUNTY JAIL",26
"204","ALB GENERAL AREA, NON-SPECIFIC",291
"205","ALBANY CITY COURT",2
"206","ALBANY COUNTY",98
"207","ALBANY COUNTY JAIL",17
"208","ALBANY COUNTY JAIL, LARAMIE, WYOMING",15
"209","ALBANY COUNTY PROBATION",7
"210","ALBANY COUNTY SHERIFS OFFICE",5
"211","ALBANY COUNTY, WYOMING",1
"212","Albany ICE Hold Room",29
"213","ALBANY ICE SUB-OFFICE",172
"214","ALBANY POLICE DEPARTMENT",18
"215","ALBANY, GA",3
"216","ALBEMARLE/CHARLOTTESVILLE REGIONAL JAIL - VA",64
"217","ALBION CORRECTIONAL FACILITY",71
"218","ALCORN COUNTY, MS",1
"219","ALEXANDER CO PROBATION TAYLORSVILLE",1
"220","ALEXANDER COUNTY JAIL",9
"221","ALEXANDER COUNTY, NC",1
"222","ALEXANDRIA CITY JAIL - VA",370
"223","ALFALFA COUNTY JAIL",5
"224","ALGER COUNTY JAIL,  MUNISING, MI",1
"225","ALHAMBRA POLICE DEPT, ALHAMBRA, CA",1
"226","ALLAMAKEE COUNTY JAIL, IA",15
"227","ALLEGAN COUNTY DISTRICT COURT PROBATION",3
"228","ALLEGAN COUNTY JAIL, ALLEGAN, MI",131
"229","ALLEGAN, MICHIGAN",13
"230","ALLEGANY COUNTY DETENTION CENTER",3
"231","ALLEGANY COUNTY DISTRICT/CIRCUIT COURT",1
"232","ALLEGANY COUNTY JAIL",8
"233","ALLEGANY COUNTY MD",3
"234","ALLEGANY COUNTY SHERIFF",3
"235","ALLEGHANY COUNTY JAIL",25
"236","ALLEGHANY COUNTY JAIL, NC",1
"237","ALLEGHANY COUNTY REGIONAL JAIL-VA",7
"238","ALLEGHANY COUNTY, NC",1
"239","ALLEGHENY COUNTY JAIL",96
"240","ALLEN COUNTY JAIL",10
"241","ALLEN COUNTY JAIL, KY",7
"242","ALLEN COUNTY SHERIFF'S OFFICE, FT. WAYNE, IN",97
"243","ALLEN PARK, MICHIGAN",5
"244","ALLEN POLICE DEPARTMENT",84
"245","ALLENDALE CORRECTIONAL INSTITUTION",30
"246","ALLENDALE COUNTY DETENTION CENTER",2
"247","ALLENHURST PD",2
"248","ALLENTOWN POLICE DEPARTMENT - ALLENTOWN, PA",5
"249","ALLENWOOD AOR FUGITIVE OPERATIONS",7
"250","ALLENWOOD FUGITIVE OPERATIONS",23
"251","ALLENWOOD VCAS",6
"252","ALMONT, MICHIGAN",1
"253","ALPHA PD",2
"254","ALPHARETTA, GA",45
"255","ALPINE PD",1
"256","ALTERNATIVE PROBATION SERVICES, INC",1
"257","ALTERNATIVE TO DETENTION CA STATE ARREST",1
"258","ALTERNATIVES TO DETENTION",112
"259","ALTON CITY JAIL, TX",11
"260","ALTONA CORRECTIONAL FACILITY",1
"261","ALVIN POLICE DEPT, BRAZORIA COUNTY, TX",43
"262","AMADOR COUNTY JAIL",1
"263","AMADOR COUNTY PROBATION OFFICE",1
"264","AMERICUS, GA",1
"265","AMSTERDAM POLICE DEPARTMENT NY STATE",19
"266","AMT GENERAL AREA, NON-SPECIFIC",24
"267","ANAHEIM, CA",4
"268","ANC GENERAL AREA, NON-SPECIFIC",1
"269","Anchorage CAP",19
"270","ANCHORAGE CORRECTIONAL COMPLEX",23
"271","ANCHORAGE NON-DETAINED DOCKET",31
"272","AND GENERAL AREA, NON-SPECIFIC",1
"273","ANDERSON COUNTY",101
"274","ANDERSON COUNTY CRIM AT LARGE",8
"275","ANDERSON COUNTY DEPT. OF JUVENILE JUSTICE",1
"276","ANDERSON COUNTY GEN AREA, NON-SPECIFIC",1
"277","ANDERSON COUNTY JAIL",4
"278","ANDERSON COUNTY JAIL, TN",36
"279","ANDERSON COUNTY PROBATION",16
"280","ANDERSON COUNTY PROBATION & PAROLE OFFICE",1
"281","ANDERSON COUNTY SHERIFFS OFFICE",5
"282","ANDREW COUNTY SHERIFFS OFFICE MISSOURI",2
"283","ANDREWS COUNTY JAIL",9
"284","ANDROSCOGGIN COUNTY JAIL, AUBURN",5
"285","ANGELINA COUNTY JAIL, LUFKIN, TX",31
"286","ANGELINA COUNTY PROBATION, LUFKIN, TX",2
"287","ANGLETON, TEXAS",10
"288","ANN ARBOR, MICHIGAN",61
"289","ANNE ARUNDEL COUNTY DETENTION CENTER",87
"290","ANNE ARUNDEL COUNTY DISTRICT/CIRCUIT COURT",4
"291","ANNE ARUNDEL COUNTY MD",316
"292","ANNE ARUNDEL COUNTY POLICE DEPARTMENT",6
"293","ANOKA COUNTY JAIL, MN",159
"294","ANOKA COUNTY WORK RELEASE, MN",9
"295","ANSON COUNTY JAIL",1
"296","ANTHONY- DISTRICT OFFICE 3D",1
"297","ANTHONY-DISTRICT OFFICE 3D",18
"298","ANTRIM COUNTY JAIL, BELLAIRE, MI",3
"299","APACHE JUNCTION POLICE DEPARTMENT",4
"300","APF GENERAL AREA, NON-SPECIFIC",4
"301","APPLING COUNTY GA",28
"302","APPLING, GA",6
"303","ARANSAS COUNTY JAIL, ROCKPORT, TX",71
"304","ARANSAS COUNTY PROBATION, ROCKPORT, TX",1
"305","ARAPAHOE COUNTY",518
"306","ARAPAHOE COUNTY JAIL",136
"307","ARAPAHOE COUNTY PROBATION OFFICE",134
"308","ARCADIA POLICE DEPT, ARCADIA, CA",1
"309","ARCHER COUNTY SHERIFFS OFFICE",5
"310","ARCHULETA COUNTY",4
"311","ARCHULETA COUNTY COURTHOUSE",1
"312","ARCHULETA COUNTY JAIL",1
"313","ARCHULETA COUNTY PROBATION OFFICE",18
"314","ARCOLA POLICE DEPT, FT BEND CO, TX",3
"315","ARECIBO PROBATION",1
"316","ARIZONA DEPARTMENT OF CORRECTIONS",143
"317","ARIZONA DEPARTMENT OF PUBLIC SAFETY",8
"318","ARKANSAS COUNTY JAIL",3
"319","ARLINGTON COUNTY JAIL - VA",333
"320","ARLINGTON POLICE DEPARTMENT",555
"321","ARMSTRONG COUNTY JAIL",3
"322","ARREST AT 333",28
"323","ARREST AT USCIS",1
"324","ARTESIA WELLS, TX. (I-35)",1
"325","ASBURY PARK PD",19
"326","ASCENSION PARISH PRISON",169
"327","ASHE COUNTY JAIL",10
"328","ASHE COUNTY JAIL, NC",1
"329","ASHE COUNTY, NC",3
"330","ASHEBORO, NC",29
"331","ASHEVILLE, NC",40
"332","ASHLAND COUNTY JAIL",3
"333","ASHLEY COUNTY JAIL",4
"334","ASPEN, COLORADO",1
"335","ASSUMPTION PARISH, LA",12
"336","ASTABULA COUNTY JAIL",7
"337","ATASCOSA COUNTY JAIL - TX0070000",23
"338","ATCHISON COUNTY SHERIFFS OFFICE MISSOURI",1
"339","ATD CA STATE",2
"340","ATD MA STATE",92
"341","ATD NY STATE",127
"342","ATD, AL STATE",4
"343","ATHENS DIVISION (FEDERAL PROBATION & PAROLE)",4
"344","ATHENS DRC PROBATION",1
"345","ATHENS PROBATION OFFICE",17
"346","ATHENS-CLARK COUNTY",11
"347","ATHENS-CLARKE COUNTY PROBATION",16
"348","ATHENS, GA",65
"349","ATKINSON COUNTY GA",47
"350","ATL GENERAL AREA, NON-SPECIFIC",31
"351","ATLANTA CENTRAL PROBATION",39
"352","ATLANTA COURT SERVICES",3
"353","ATLANTA METRO DRC PROBATION",2
"354","ATLANTA PROBATION",4
"355","ATLANTA, GA",5305
"356","ATLANTIC CITY",1
"357","ATLANTIC CITY POLICE DEPARTMENT",16
"358","ATLANTIC COUNTY JAIL",2
"359","ATLANTIC COUNTY SHERIFF",2
"360","ATLANTIC COUNTY, NEW JERSEY",129
"361","ATLANTIC HIGHLANDS PD",1
"362","ATTALA COUNTY, MS",2
"363","ATWATER - FCI",178
"364","ATWATER POLICE DEPARTMENT",1
"365","Auburn City Police Department",1
"366","AUBURN HILLS, MICHIGAN",7
"367","AUDRAIN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",9
"368","AUGLAIZE COUNTY JAIL",8
"369","AUGUSTA CORRECTIONAL CENTER - VA",2
"370","AUGUSTA PROBATION OFFICE",3
"371","AUGUSTA-RICHMOND COUNTY GA",47
"372","AUGUSTA, GA",58
"373","AURORA CITY JAIL",50
"374","AUS GENERAL AREA, NON-SPECIFIC",2846
"375","AUSTELL, GA",27
"376","AUSTIN COUNTY JAIL, SEALY, TX",34
"377","AUSTIN COUNTY PROBATION, BELLVILLE, TX",3
"378","AUSTIN POLICE DEPARTMENT - TX2270100",17
"379","AUSTIN, TX",85
"380","AUTAUGA COUNTY JAIL, PRATTVILLE, AL",1
"381","AVALON POLICE DEPARTMENT",1
"382","AVENAL STATE PRISON",311
"383","AVERY COUNTY JAIL",9
"384","AVERY COUNTY, NC",7
"385","AVON BY THE SEA PD",2
"386","AYER DISTRICT COURT",7
"387","AYER POLICE DEPT",1
"388","AZ DOC - ALHAMBRA (IRP)",1
"389","AZLE POLICE DEPARTMENT",3
"390","AZUSA POLICE DEPT, AZUSA, CA",1
"391","B - ADAMS COUNTY JAIL",2
"392","B - COLUMBIA COUNTY GENERAL AREA",4
"393","B - COLUMBIA COUNTY JAIL",14
"394","B - DANE COUNTY GENERAL AREA",116
"395","B - DANE COUNTY JAIL",145
"396","B - FEDERAL CORRECTIONAL INSTITUTION, OXFORD, WI",64
"397","B - FEDERAL PRISON CAMP, OXFORD, WI",6
"398","B - GRANT COUNTY GENERAL AREA",1
"399","B - GRANT COUNTY JAIL",6
"400","B - GREEN COUNTY GENERAL AREA",3
"401","B - GREEN COUNTY JAIL",5
"402","B - IOWA COUNTY GENERAL AREA",3
"403","B - IOWA COUNTY JAIL",3
"404","B - JEFFERSON COUNTY GENERAL AREA",26
"405","B - JEFFERSON COUNTY JAIL",38
"406","B - JUNEAU COUNTY GENERAL AREA",3
"407","B - JUNEAU COUNTY JAIL",1
"408","B - LA CROSSE COUNTY GENERAL AREA",3
"409","B - LA CROSSE COUNTY JAIL",8
"410","B - LAFAYETTE COUNTY GENERAL AREA",5
"411","B - LAFAYETTE COUNTY JAIL",16
"412","B - MONROE COUNTY GENERAL AREA",4
"413","B - MONROE COUNTY JAIL",19
"414","B - RICHLAND COUNTY GENERAL AREA",2
"415","B - RICHLAND COUNTY JAIL",1
"416","B - ROCK COUNTY GENERAL AREA",35
"417","B - ROCK COUNTY JAIL",41
"418","B - SAUK COUNTY GENERAL AREA",17
"419","B - SAUK COUNTY JAIL",46
"420","B - U.S. MARSHALL - WESTERN DISTRICT OF WISCONSIN",12
"421","B - VERNON COUNTY JAIL",2
"422","BACON COUNTY GA",17
"423","BAILEY COUNTY JAIL",116
"424","BAKER COUNTY JAIL, GA",1
"425","BAKER COUNTY JAIL, OREGON",1
"426","BAKERSFIELD ERO SUB-OFFICE",81
"427","BAKERSFIELD RESIDENCE",6
"428","BALCH SPRINGS POLICE DEPARTMENT",83
"429","BALDWIN COUNTY CORRECTIONAL CENTER, AL",147
"430","BALDWIN COUNTY GA",2
"431","BALLARD COUNTY DETENTION CTR, KY",2
"432","BALLWIN POLICE DEPARTMENT, MISSOURI",2
"433","BALTIMORE CITY CENTRAL BOOKING",15
"434","BALTIMORE CITY DETENTION CENTER",66
"435","BALTIMORE CITY DISTRICT/CIRCUIT COURT",1
"436","BALTIMORE CITY MD",1324
"437","BALTIMORE CITY POLICE DEPARTMENT",2
"438","BALTIMORE COUNTY BUREAU OF CORRECTIONS",55
"439","BALTIMORE COUNTY DISTRICT/CIRCUIT COURT",5
"440","BALTIMORE COUNTY MD",359
"441","BALTIMORE COUNTY POLICE DEPARTMENT",4
"442","BALTIMORE ISAP OFFICE",5
"443","BAMBERG COUNTY DETENTION CENTER",2
"444","BANDERA COUNTY JAIL - TX0100000",9
"445","BANKS COUNTY GA",8
"446","BANKS COUNTY PROBATION",1
"447","BANNOCK COUNTY JAIL ID",16
"448","BANNOCK COUNTY MISDEMEANOR PROBATION OFFICE ID",1
"449","BARAGA CORRECTIONAL FACILITY, BARAGA, MI",1
"450","BARBER COUNTY SHERIFFS, MEDICINE LODGE, KANSAS",1
"451","BARNEGAT TOWNSHIP POLICE DEPARTMENT",1
"452","BARNES CO CORRECTIONAL FACILITY,VALLEY CITY, ND",1
"453","BARNSTABLE COUNTY HOC",2
"454","BARNSTABLE DISTRICT COURT",1
"455","BARNWELL COUNTY JAIL",4
"456","BARNWELL COUNTY, SC",1
"457","BARREN COUNTY CORRECTIONS CTR, KY",45
"458","BARRINGTON POLICE DEPARTMENT",1
"459","BARROW COUNTY GA",30
"460","BARRY COUNTY JAIL, HASTINGS, MI",12
"461","BARRY COUNTY SHERIFFS OFFICE, MISSOURI",16
"462","BARSTOW JAIL (SBSD) BARSTOW, CA",7
"463","BARTHOLOMEW COUNTY SHERIFF'S OFFICE, COLUMBUS, IN",70
"464","BARTLETT STATE JAIL, BARTLETT, TEXAS",2
"465","BARTON COUNTY SHERIFFS OFFICE, MISSOURI",1
"466","BARTON COUNTY SHERIFFS, GREAT BEND, KANSAS",22
"467","BARTOW COUNTY GA",17
"468","BARTOW COUNTY, GA",112
"469","BASALT, COLORADO",1
"470","BASKERVILLE CORRECTIONAL CENTER - VA",1
"471","BASKERVILLE CORRECTIONAL CENTER-VA",2
"472","BASTROP COUNTY JAIL, BASTROP, TEXAS",362
"473","BASTROP FEDERAL CORRECTIONAL INST., BASTROP, TEXAS",32
"474","BATAVIA FUGITIVE OPERATIONS",159
"475","BATAVIA POLICE DEPARTMENT",1
"476","BATAVIA, ALBION, ELBA FUGOPS",19
"477","BATES COUNTY SHERIFFS OFFICE MISSOURI",5
"478","BATH COUNTY JAIL, KY",1
"479","BATOWN POLICE DEPT, HARRIS COUNTY, TX",10
"480","BATTLE CREEK, MICHIGAN",41
"481","BAXTER COUNTY JAIL",5
"482","BAY CITY, MICHIGAN",1
"483","BAY COUNTY JAIL, BAY CITY, MI",2
"484","BAYAMON CORRECTIONAL INSTITUTION",29
"485","BAYAMON PROBATION OFFICE",1
"486","BAYAMON, PR/ DETAINER",2
"487","BAYONNE PD",18
"488","BAYOU LA BATRE PD, AL",7
"489","BAYOU VISTA POLICE DEPT, SANTA FE, GALVESTON CO",2
"490","BAYOU VISTA POLICE DEPT, SANTA FE, GALVESTON COUNTY, TX",1
"491","BAYTOWN POLICE DEPT, HARRIS CO, TX",6
"492","BAYTOWN, TEXAS",34
"493","BDC GENERAL AREA, NON-SPECIFIC",5
"494","BEA GENERAL AREA, NON-SPECIFIC",58
"495","BEADLE CO REGIONAL CORR. CENT., HURON, SD",79
"496","BEAUFORT COUNTY DEPT. OF JUVENILE JUSTICE",6
"497","BEAUFORT COUNTY DETENTION CENTER",562
"498","BEAUFORT COUNTY FUGITIVE OPERATIONS",2
"499","BEAUFORT COUNTY JAIL",15
"500","BEAUFORT COUNTY, SC",49
"501","BEAUMONT POLICE DEPT, JEFFERSON CO, TX",2
"502","BEAUMONT POLICE DEPT, JEFFERSON COUNTY, TX",10
"503","BEAUMONT, TEXAS",68
"504","BEAVER COUNTY JAIL",24
"505","BEAVER COUNTY JAIL, UT",11
"506","BEAVERHEAD COUNTY JAIL MT",2
"507","BECKER COUNTY JAIL, MN",5
"508","BECKHAM COUNTY JAIL",8
"509","BEDFORD COUNTY JAIL, TN",77
"510","BEDFORD COUNTY PRISON",4
"511","BEDFORD POLICE DEPARTMENT",27
"512","BEE COUNTY JAIL, BEEVILLE, TX",22
"513","BELKNAP COUNTY DOC",8
"514","BELKNAP COUNTY NH",16
"515","BELL COUNTY DETENTION CTR, KY",4
"516","BELL COUNTY JAIL, BELTON, TEXAS",265
"517","BELL FOURCHE, SOUTH DAKOTA",2
"518","BELL POLICE DEPT, BELL, CA",7
"519","BELLAIRE POLICE DEPT, HARRIS COUNTY, TX",3
"520","BELLAIRE POLICE POLICE DEPT, HARRIS CO, TX",3
"521","BELLAMY CREEK CORRECTIONAL FACILITY, IONIA, MI",4
"522","BELLEVILLE PD",5
"523","BELLMAWR POLICE DEPARTMENT",1
"524","Bellwood Police Department",1
"525","BELMAR PD",8
"526","BELMONT COUNTY JAIL",4
"527","BELMONT POLICE DEPARTMENT",1
"528","BELTON MISSOURI POLICE DEPARTMENT",33
"529","BELTON, TEXAS",48
"530","BELTRAMI COUNTY JAIL, MN",1
"531","BELVIDERE PD",2
"532","BEN HILL COUNTY JAIL, GA",1
"533","BENBROOK POLICE DEPARTMENT",7
"534","BENTON CO. JAIL",367
"535","BENTON COUNTY 287G JAIL ENFORCEMENT OFFICER",24
"536","BENTON COUNTY JAIL",245
"537","Benton County Jail 287(g)",123
"538","BENTON COUNTY JAIL, IA",9
"539","BENTON COUNTY JAIL, MN",15
