"","landmark","total"
"159","ADC NORTH CENTRAL UNIT",15
"160","ADC OUACHITA RIVER UNIT",49
"161","ADC RANDALL L. WILLIAMS UNIT",9
"162","ADC SALT LAKE COUNTY JAIL",2
"163","ADC TEXARKANA REGIONAL UNIT",1
"164","ADC TUCKER UNIT",15
"165","ADC VARNER UNIT",34
"166","ADC WRIGHTSVILLE UNIT",17
"167","ADDISON CITY JAIL",71
"168","ADE GENERAL AREA, NON-SPECIFIC",2343
"169","ADEL, GA",1
"170","ADELANTO CCF (STATE) ADELANTO, CA",6
"171","ADELANTO, CA ICE FACILITY",560
"172","ADIRONDACK CORRECTIONAL FACILITY",1
"173","ADULT DIAGNOSTIC AND TREATMENT CENTER",65
"174","ADULT PROBATION & PAROLE - UT",1
"175","ADULT PROBATIONS AND PAROLE",1
"176","AGA GENERAL AREA, NON-SPECIFIC",2635
"177","AGU GENERAL AREA, NON-SPECIFIC",26
"178","AGUADA, PUERTO RICO",1
"179","AGUADILLA, PR BOOKING STATION",1
"180","AGUADILLA, PR/ DETAINER",1
"181","AIKEN COUNTY DETENTION CENTER",3
"182","AIKEN COUNTY, SC",223
"183","AIRWAY HEIGHTS",90
"184","Aitkin County Jail",2
"185","AITKIN COUNTY JAIL, MN",6
"186","AJO BORDER PATROL AZ STATE",1
"187","AK PROBATION ANCHORAGE",4
"188","AK PROBATION JUNEAU",1
"189","AK PROBATION KODIAK",1
"190","AL State at-large",22
"191","ALACHUA COUNTY PROBATION & PAROLE",6
"192","ALAMANCE CO PROBATION PRISON CAMP RD",1
"193","ALAMANCE COUNTY JAIL",216
"194","ALAMANCE COUNTY JAIL, NC",6
"195","ALAMANCE COUNTY, NC",8
"196","ALAMEDA CITY JAIL",10
"197","ALAMEDA COUNTY JAIL - GLENN E. DYER DETENTION FACILITY",125
"198","ALAMEDA COUNTY JAIL - SANTA RITA",1087
"199","ALAMEDA COUNTY JUVENILE HALL",3
"200","ALAMEDA COUNTY SHERIFF'S DEPARTMENT",24
"201","ALAMEDA POLICE DEPARTMENT",4
"202","ALAMO CITY JAIL TX - TX1080100",144
"203","ALAMO, GA",2
"204","ALAMOSA COUNTY",13
"205","ALAMOSA COUNTY JAIL",58
"206","ALAMOSA COUNTY PROBATION OFFICE",1
"207","ALAMOSA, CO POLICE DEPARTMENT",2
"208","ALB GENERAL AREA, NON-SPECIFIC",418
"209","ALBANY CITY COURT",2
"210","ALBANY COUNTY",69
"211","ALBANY COUNTY JAIL",379
"212","ALBANY COUNTY JAIL, LARAMIE, WYOMING",115
"213","ALBANY COUNTY PROBATION",6
"214","ALBANY COUNTY SHERIFS OFFICE",2
"215","ALBANY COUNTY, WYOMING",7
"216","Albany ICE Hold Room",13
"217","ALBANY ICE SUB-OFFICE",206
"218","ALBANY POLICE DEPARTMENT",22
"219","ALBANY PROBATION OFFICE",1
"220","ALBANY, GA",1
"221","ALBEMARLE/CHARLOTTESVILLE REGIONAL JAIL - VA",313
"222","ALBEMARLE/CHARLOTTESVILLE REGIONAL JAIL-VA",6
"223","ALBION CORRECTIONAL FACILITY",4
"224","ALBION POLICE DEPARTMENT",1
"225","ALBUQUERQUE BOYS CENTER    ABQ",1
"226","ALBUQUERQUE POLICE DEPARTMENT",3
"227","ALEXANDER COUNTY JAIL",14
"228","ALEXANDER COUNTY, NC",2
"229","ALEXANDRIA CITY JAIL - VA",887
"230","ALFALFA COUNTY JAIL",6
"231","ALGER COUNTY JAIL,  MUNISING, MI",1
"232","ALICE PD, TX",3
"233","ALISO VIEJO, CA",1
"234","ALLAMAKEE COUNTY JAIL, IA",41
"235","ALLEGAN COUNTY DISTRICT COURT PROBATION",3
"236","ALLEGAN COUNTY JAIL, ALLEGAN, MI",115
"237","ALLEGAN, MICHIGAN",11
"238","ALLEGANY COUNTY DETENTION CENTER",1
"239","ALLEGANY COUNTY JAIL",23
"240","ALLEGANY COUNTY MD",7
"241","ALLEGHANY COUNTY JAIL",46
"242","ALLEGHANY COUNTY REGIONAL JAIL - VA",3
"243","ALLEGHANY COUNTY REGIONAL JAIL-VA",13
"244","ALLEGHANY COUNTY, NC",1
"245","ALLEGHENY COUNTY JAIL",144
"246","ALLEN COUNTY JAIL",12
"247","ALLEN COUNTY JAIL, KY",6
"248","ALLEN COUNTY SHERIFF'S OFFICE, FT. WAYNE, IN",159
"249","ALLEN PARK POLICE DEPARTMENT",3
"250","ALLEN PARK, MICHIGAN",8
"251","ALLEN POLICE DEPARTMENT",159
"252","ALLENDALE CORRECTIONAL INSTITUTION",32
"253","ALLENDALE COUNTY DETENTION CENTER",5
"254","ALLENDALE PD",3
"255","ALLENHURST PD",3
"256","ALLENTOWN PD",2
"257","ALLENTOWN POLICE DEPARTMENT",1
"258","ALLENTOWN POLICE DEPARTMENT - ALLENTOWN, PA",1
"259","ALLENWOOD AOR FUGITIVE OPERATIONS",10
"260","ALLENWOOD FUGITIVE OPERATIONS",15
"261","ALLENWOOD VCAS",6
"262","ALMONT, MICHIGAN",2
"263","ALN GENERAL AREA, NON-SPECIFIC",2
"264","ALPENA COUNTY JAIL, ALPENA, MI",1
"265","ALPHARETTA, GA",63
"266","ALPINE PD",53
"267","ALTERNATIVE TO DETENTION CA STATE ARREST",1
"268","ALTERNATIVES TO DETENTION",109
"269","ALTON CITY JAIL, TX",65
"270","ALTON, ILLINOIS POLICE DEPARTMENT",3
"271","ALTONA CORRECTIONAL FACILITY",1
"272","ALVARADO POLICE DEPARTMENT",6
"273","ALVIN POLICE DEPT, BRAZORIA COUNTY, TX",54
"274","ALW GENERAL AREA, NON-SPECIFIC",59
"275","AMADOR COUNTY JAIL",18
"276","AMADOR COUNTY PROBATION OFFICE",2
"277","AMERICUS, GA",1
"278","AMESBURY DISTRICT COURT",1
"279","AMESBURY POLICE DEPT",1
"280","AMHERST COUNTY JAIL - VA",4
"281","AMSTERDAM POLICE DEPARTMENT NY STATE",21
"282","AMT GENERAL AREA, NON-SPECIFIC",155
"283","ANAHEIM, CA",2
"284","ANAMOSA STATE PENITENTIARY, IA",4
"285","Anchorage CAP",375
"286","ANCHORAGE CORRECTIONAL COMPLEX",1592
"287","ANCHORAGE NON-DETAINED DOCKET",33
"288","ANCORA PSYCHIATRIC HOSPITAL, NEW JERSEY",1
"289","ANDERSON COUNTY",86
"290","ANDERSON COUNTY CRIM AT LARGE",11
"291","ANDERSON COUNTY DEPT. OF JUVENILE JUSTICE",2
"292","ANDERSON COUNTY DETENTION CENTER",5
"293","ANDERSON COUNTY JAIL",4
"294","ANDERSON COUNTY JAIL, TN",40
"295","ANDERSON COUNTY PROBATION",14
"296","ANDERSON COUNTY PROBATION & PAROLE OFFICE",2
"297","ANDERSON COUNTY SHERIFFS OFFICE",16
"298","ANDREW COUNTY SHERIFFS OFFICE MISSOURI",3
"299","ANDREWS COUNTY JAIL",12
"300","ANDROSCOGGIN COUNTY JAIL, AUBURN",151
"301","ANDROSCOGGIN COUNTY SHERIFF'S OFFICE, AUBURN",1
"302","ANGELINA COUNTY JAIL, LUFKIN, TX",47
"303","ANGELINA COUNTY PROBATION, LUFKIN, TX",1
"304","ANGLETON, TEXAS",16
"305","ANN ARBOR, MICHIGAN",58
"306","ANNE ARUNDEL COUNTY DETENTION CENTER",122
"307","ANNE ARUNDEL COUNTY DISTRICT/CIRCUIT COURT",1
"308","ANNE ARUNDEL COUNTY MD",293
"309","ANNE ARUNDEL COUNTY POLICE DEPARTMENT",8
"310","ANOKA COUNTY JAIL, MN",582
"311","ANOKA COUNTY WORK RELEASE, MN",36
"312","ANSON COUNTY JAIL",3
"313","ANSON COUNTY JAIL, NC",1
"314","ANSONIA, CT",3
"315","ANTHONY-DISTRICT OFFICE 3D",15
"316","ANTRIM COUNTY JAIL, BELLAIRE, MI",8
"317","ANVIL MOUNTAIN CORRECTIONS CENTER",27
"318","ANZALDUAS PARK",2
"319","APF GENERAL AREA, NON-SPECIFIC",6738
"320","APPANOOSE COUNTY IOWA",1
"321","APPLE VALLEY, MN POLICE DEPARTMENT",6
"322","APPLING COUNTY GA",42
"323","APPLING COUNTY JAIL",1
"324","APPLING, GA",3
"325","APPOMATTOX COUNTY JAIL - VA",3
"326","APPOMATTOX COUNTY JAIL-VA",3
"327","ARANSAS COUNTY JAIL, ROCKPORT, TX",84
"328","ARANSAS COUNTY PROBATION, ROCKPORT, TX",2
"329","ARAPAHOE COUNTY",502
"330","ARAPAHOE COUNTY JAIL",490
"331","ARAPAHOE COUNTY PROBATION OFFICE",135
"332","ARCHER COUNTY SHERIFFS OFFICE",5
"333","ARCHULETA COUNTY",5
"334","ARCHULETA COUNTY JAIL",9
"335","ARCHULETA COUNTY PROBATION OFFICE",7
"336","ARCOLA POLICE DEPT, FT BEND CO, TX",1
"337","ARECIBO PROBATION",2
"338","ARECIBO,PR/ DETAINER",1
"339","ARIVACA",1
"340","ARIZONA DEPARTMENT OF CORRECTIONS",5
"341","ARIZONA DEPARTMENT OF PUBLIC SAFETY",1
"342","ARKANSAS COUNTY JAIL",6
"343","ARLINGTON COUNTY JAIL - VA",1326
"344","ARLINGTON POLICE DEPARTMENT",1060
"345","ARMSTRONG COUNTY",5
"346","ARMSTRONG COUNTY JAIL",4
"347","ARREST AT 333",31
"348","ARREST AT USCIS",2
"349","ARVIN POLICE DEPARTMENT",9
"350","ASBURY PARK PD",60
"351","ASCENSION PARISH PRISON",203
"352","ASHE COUNTY JAIL",18
"353","ASHE COUNTY JAIL, NC",2
"354","ASHE COUNTY, NC",3
"355","ASHEBORO, NC",27
"356","ASHEVILLE, NC",28
"357","ASHLAND COUNTY JAIL",4
"358","ASHLEY COUNTY JAIL",6
"359","ASOTIN CO. JAIL",10
"360","ASPEN, COLORADO",9
"361","ASSUMPTION PARISH, LA",12
"362","ASTABULA COUNTY JAIL",6
"363","ATASCADERO STATE HOSPITAL",36
"364","ATASCOSA COUNTY JAIL - TX0070000",102
"365","ATCHISON COUNTY SHERIFFS OFFICE MISSOURI",1
"366","ATD CA STATE",2
"367","ATD MA STATE",102
"368","ATD NY STATE",25
"369","ATD, AL STATE",1
"370","ATHENS DIVISION (FEDERAL PROBATION & PAROLE)",5
"371","ATHENS DRC PROBATION",3
"372","ATHENS PROBATION OFFICE",19
"373","ATHENS-CLARK COUNTY",43
"374","ATHENS-CLARKE COUNTY PROBATION",9
"375","ATHENS, GA",60
"376","ATKINSON COUNTY GA",59
"377","ATKINSON, GA",1
"378","ATL GENERAL AREA, NON-SPECIFIC",100
"379","ATLANTA CENTRAL PROBATION",18
"380","ATLANTA METRO DRC PROBATION",3
"381","ATLANTA PROBATION",2
"382","ATLANTA, GA",2658
"383","ATLANTIC CITY",7
"384","ATLANTIC CITY POLICE DEPARTMENT",17
"385","ATLANTIC COUNTY JAIL",17
"386","ATLANTIC COUNTY, NEW JERSEY",400
"387","ATLANTIC HIGHLANDS PD",7
"388","ATOKA COUNTY JAIL",3
"389","ATTALA COUNTY, MS",5
"390","ATTELBORO POLICE DEPT",2
"391","ATTICA CORRECTIONAL FACILITY",3
"392","ATWATER - FCI",395
"393","ATWATER POLICE DEPARTMENT",7
"394","AUBURN CITY JAIL",1
"395","Auburn City Police Department",1
"396","AUBURN HILLS, MICHIGAN",13
"397","AUBURN POLICE DEPARTMENT",29
"398","AUDRAIN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",15
"399","AUDUBON BOROUGH POLICE DEPARTMENT",1
"400","AUGLAIZE COUNTY JAIL",7
"401","AUGUSTA CORRECTIONAL CENTER - VA",24
"402","AUGUSTA POLICE DEPARTMENT",9
"403","AUGUSTA PROBATION OFFICE",1
"404","AUGUSTA-RICHMOND COUNTY GA",42
"405","AUGUSTA, GA",54
"406","AURORA CITY JAIL",569
"407","AUS GENERAL AREA, NON-SPECIFIC",3570
"408","AUSTELL, GA",28
"409","AUSTIN COUNTY JAIL, SEALY, TX",35
"410","AUSTIN COUNTY PROBATION, BELLVILLE, TX",4
"411","AUSTIN POLICE DEPARTMENT - TX2270100",57
"412","AUSTIN, TX",71
"413","AVENAL STATE PRISON",339
"414","AVERY COUNTY JAIL",18
"415","AVERY COUNTY, NC",5
"416","AVON BY THE SEA PD",2
"417","AVON, COLORADO",22
"418","AVOYELLES CORRECTIONAL CENTER",1
"419","AYER DISTRICT COURT",6
"420","AYER POLICE DEPT",1
"421","AZLE POLICE DEPARTMENT",6
"422","AZUSA POLICE DEPT, AZUSA, CA",1
"423","B - ADAMS COUNTY JAIL",1
"424","B - COLUMBIA COUNTY JAIL",12
"425","B - CRAWFORD COUNTY JAIL",2
"426","B - DANE COUNTY GENERAL AREA",69
"427","B - DANE COUNTY JAIL",120
"428","B - FEDERAL CORRECTIONAL INSTITUTION, OXFORD, WI",61
"429","B - GRANT COUNTY GENERAL AREA",2
"430","B - GRANT COUNTY JAIL",9
"431","B - GREEN COUNTY GENERAL AREA",3
"432","B - GREEN COUNTY JAIL",18
"433","B - IOWA COUNTY GENERAL AREA",3
"434","B - IOWA COUNTY JAIL",12
"435","B - JEFFERSON COUNTY GENERAL AREA",5
"436","B - JEFFERSON COUNTY JAIL",35
"437","B - JUNEAU COUNTY GENERAL AREA",2
"438","B - JUNEAU COUNTY JAIL",1
"439","B - LA CROSSE COUNTY JAIL",12
"440","B - LAFAYETTE COUNTY GENERAL AREA",3
"441","B - LAFAYETTE COUNTY JAIL",30
"442","B - MONROE COUNTY JAIL",8
"443","B - RICHLAND COUNTY GENERAL AREA",2
"444","B - RICHLAND COUNTY JAIL",4
"445","B - ROCK COUNTY GENERAL AREA",32
"446","B - ROCK COUNTY JAIL",111
"447","B - SAUK COUNTY GENERAL AREA",18
"448","B - SAUK COUNTY JAIL",73
"449","B - U.S. MARSHALL - WESTERN DISTRICT OF WISCONSIN",44
"450","B - VERNON COUNTY JAIL",7
"451","B - WASHBURN COUNTY GENERAL AREA",1
"452","B - WI DOC - COLUMBIA CORRECTIONAL INSTITUTION",1
"453","B - WI DOC - NEW LISBON CORRECTIONAL INSTITUTION",6
"454","B - WI DOC - WISCONSIN SECURE PROGRAM FACILITY",2
"455","BACA COUNTY JAIL",2
"456","BACON COUNTY GA",21
"457","BAILEY COUNTY JAIL",191
"458","BAKER COUNTY JAIL, GA",2
"459","BAKER COUNTY JAIL, OREGON",7
"460","BAKERSFIELD ERO SUB-OFFICE",20
"461","BAKERSFIELD RESIDENCE",6
"462","BALCH SPRINGS POLICE DEPARTMENT",131
"463","BALDWIN COUNTY CORRECTIONAL CENTER, AL",159
"464","BALDWIN COUNTY GA",4
"465","BALDWIN, GA",2
"466","Baldwinsville Village Police Department",2
"467","BALLARD COUNTY DETENTION CTR, KY",2
"468","BALLWIN POLICE DEPARTMENT, MISSOURI",3
"469","BALTIMORE CITY CENTRAL BOOKING",18
"470","BALTIMORE CITY DETENTION CENTER",98
"471","BALTIMORE CITY MD",797
"472","BALTIMORE CITY POLICE DEPARTMENT",3
"473","BALTIMORE COUNTY BUREAU OF CORRECTIONS",58
"474","BALTIMORE COUNTY DISTRICT/CIRCUIT COURT",2
"475","BALTIMORE COUNTY MD",351
"476","BALTIMORE COUNTY POLICE DEPARTMENT",8
"477","BALTIMORE ISAP OFFICE",5
"478","BAMBERG COUNTY DETENTION CENTER",3
"479","BANDERA COUNTY JAIL - TX0100000",43
"480","BANGOR POLICE DEPARTMENT",15
"481","BANKS COUNTY GA",21
"482","BANNOCK COUNTY JAIL ID",57
"483","BANNOCK COUNTY MISDEMEANOR PROBATION OFFICE ID",2
"484","BAR HARBOR POLICE DEPARTMENT",5
"485","BARBER COUNTY SHERIFFS, MEDICINE LODGE, KANSAS",1
"486","BARE HILL CORRECTIONAL FACILITY",4
"487","BARNEGAT TOWNSHIP POLICE DEPARTMENT",1
"488","BARNES CO CORRECTIONAL FACILITY,VALLEY CITY, ND",30
"489","BARNSTABLE COUNTY HOC",2
"490","BARNSTABLE COUNTY LOCAL POLICE DEPT",9
"491","BARNSTABLE DISTRICT COURT",1
"492","BARNWELL COUNTY JAIL",7
"493","BARNWELL COUNTY, SC",1
"494","BARNWELL, SC",1
"495","BARREN COUNTY CORRECTIONS CTR, KY",68
"496","BARRINGTON POLICE DEPARTMENT",2
"497","BARROW COUNTY GA",57
"498","BARROW JAIL",1
"499","BARRY COUNTY JAIL, HASTINGS, MI",12
"500","BARRY COUNTY SHERIFFS OFFICE, MISSOURI",15
"501","BARSTOW JAIL (SBSD) BARSTOW, CA",7
"502","BARTHOLOMEW COUNTY SHERIFF'S OFFICE, COLUMBUS, IN",63
"503","BARTON COUNTY SHERIFFS, GREAT BEND, KANSAS",27
"504","BARTOW COUNTY GA",19
"505","BARTOW COUNTY, GA",128
"506","BASALT, COLORADO",5
"507","BASKERVILLE CORRECTIONAL CENTER-VA",1
"508","BASTROP COUNTY JAIL, BASTROP, TEXAS",838
"509","BASTROP FEDERAL CORRECTIONAL INST., BASTROP, TEXAS",66
"510","BATAVIA CMD CTR NY DCO SUB-OFFICE",8
"511","BATAVIA FUGITIVE OPERATIONS",166
"512","BATAVIA INTEROPERABILITY REGIONAL CENTER NY STATE",10
"513","BATAVIA POLICE DEPARTMENT",5
"514","BATAVIA, ALBION, ELBA FUGOPS",18
"515","BATES COUNTY SHERIFFS OFFICE MISSOURI",6
"516","BATH POLICE DEPARTMENT",3
"517","BATOWN POLICE DEPT, HARRIS COUNTY, TX",12
"518","BATTLE CREEK, MICHIGAN",8
"519","BAXLEY, GA",1
"520","BAXTER COUNTY JAIL",2
"521","BAY CITY, MICHIGAN",5
"522","BAY COUNTY JAIL, BAY CITY, MI",3
"523","BAYAMON CORRECTIONAL INSTITUTION",30
"524","BAYAMON, PR / BOOKING STATION",2
"525","BAYLOR COUNTY SHERIFFS OFFICE",1
"526","BAYLOR WORK RELEASE",1
"527","BAYONNE PD",69
"528","BAYOU LA BATRE PD, AL",7
"529","BAYOU VISTA POLICE DEPT, SANTA FE, GALVESTON CO",2
"530","BAYSIDE STATE PRISON",3
"531","BAYTOWN POLICE DEPT, HARRIS CO, TX",8
"532","BAYTOWN, TEXAS",36
"533","BDC GENERAL AREA, NON-SPECIFIC",1469
"534","BEA GENERAL AREA, NON-SPECIFIC",114
"535","BEADLE CO REGIONAL CORR. CENT., HURON, SD",97
"536","BEAR LAKE COUNTY JAIL ID",1
"537","BEAUFORT COUNTY DEPT. OF JUVENILE JUSTICE",1
"538","BEAUFORT COUNTY DETENTION CENTER",653
"539","BEAUFORT COUNTY FUGITIVE OPERATIONS",2
"540","BEAUFORT COUNTY JAIL",28
"541","BEAUFORT COUNTY, SC",52
"542","BEAUFORT, SC",135
"543","BEAUMONT POLICE DEPT, JEFFERSON CO, TX",3
"544","BEAUMONT POLICE DEPT, JEFFERSON COUNTY, TX",10
"545","BEAUMONT, TEXAS",72
"546","BEAVER COUNTY JAIL",43
