book_in_date,date_of_birth,gender,country_of_citizenship,detention_facility,apprehension_method,most_serious_conviction,year,month,day,state
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,3,OR
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP State Incarceration,NA,2012,1,3,OR
2012-01-03,"(b)(6),(b)(7)c)",Male,CANADA,NORTHWEST DET. CENTER,CAP State Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,ADAMS COUNTY,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,COSTA RICA,NORTHWEST DET. CENTER,Patrol Border,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,3,OR
2012-01-03,"(b)(6),(b)(7)c)",Female,MEXICO,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,3,OR
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP State Incarceration,NA,2012,1,3,OR
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA SUB-OFFICE,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA SUB-OFFICE,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,NA,NA,2012,1,4,OR
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Federal Incarceration,NA,2012,1,4,OR
2012-01-04,"(b)(6),(b)(7)c)",Male,UZBEKISTAN,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,4,OR
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,4,OR
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,Located,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA SUB-OFFICE,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,Located,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,EL SALVADOR,YAKIMA SUB-OFFICE,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,ISRAEL,NORTHWEST DET. CENTER,Inspections,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA SUB-OFFICE,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA SUB-OFFICE,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,INDIA,NORTHWEST DET. CENTER,Other Agency (turned over to INS),NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,4,OR
2012-01-04,"(b)(6),(b)(7)c)",Female,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,4,OR
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,GUATEMALA,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,4,OR
2012-01-04,"(b)(6),(b)(7)c)",Male,EL SALVADOR,COLUMBIA COUNTY JAIL,Located,NA,2012,1,4,OR
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,4,OR
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,KENYA,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Other Agency (turned over to INS),NA,2012,1,4,WA
2012-01-04,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Other Agency (turned over to INS),NA,2012,1,4,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Federal Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,UMATILLA CO JAIL,CAP Local Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,GUATEMALA,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,GUATEMALA,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,GUATEMALA,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,GUATEMALA,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,VIETNAM,PORTLAND DISTRICT OFFICE,CAP State Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,5,OR
2012-01-05,"(b)(6),(b)(7)c)",Male,INDIA,RED ROOF INN,Anti-Smuggling,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Other Agency (turned over to INS),NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Other Agency (turned over to INS),NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Female,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Female,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,Located,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,Located,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Other efforts,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,BELIZE,SEATTLE FIELD OFFICE HOLD ROOM,CAP State Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Female,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,5,WA
2012-01-05,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Other Agency (turned over to INS),NA,2012,1,5,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,GUATEMALA,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Female,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Federal Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,GUATEMALA,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Female,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Federal Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,KOREA,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,Located,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,ZIMBABWE,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,GUATEMALA,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP State Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Federal Incarceration,NA,2012,1,6,OR
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,Other efforts,NA,2012,1,6,WA
2012-01-06,"(b)(6),(b)(7)c)",Male,MEXICO,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,6,OR
2012-01-07,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,7,WA
2012-01-07,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Patrol Border,NA,2012,1,7,WA
2012-01-07,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,7,WA
2012-01-08,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,8,WA
2012-01-08,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,8,WA
2012-01-08,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Patrol Border,NA,2012,1,8,WA
2012-01-08,"(b)(6),(b)(7)c)",Male,GUATEMALA,COLUMBIA COUNTY JAIL,Located,NA,2012,1,8,OR
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,ADAMS COUNTY,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Other Agency (turned over to INS),NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,INDIA,NORTHWEST DET. CENTER,Patrol Border,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,ADAMS COUNTY,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Female,LAOS,SEATTLE FIELD OFFICE HOLD ROOM,CAP Federal Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,GUATEMALA,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,9,OR
2012-01-09,"(b)(6),(b)(7)c)",Male,PERU,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA SUB-OFFICE,CAP State Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,EUGENE HOLDROOM,NA,NA,2012,1,9,OR
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,9,OR
2012-01-09,"(b)(6),(b)(7)c)",Female,INDIA,NORTHWEST DET. CENTER,Patrol Border,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,9,OR
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,INDIA,NORTHWEST DET. CENTER,Patrol Border,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,HONDURAS,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,9,OR
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,9,OR
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,EUGENE HOLDROOM,CAP Local Incarceration,NA,2012,1,9,OR
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA SUB-OFFICE,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,HONDURAS,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,PHILIPPINES,SEATTLE FIELD OFFICE HOLD ROOM,CAP State Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Female,MEXICO,YAKIMA SUB-OFFICE,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,POLAND,NORTHWEST DET. CENTER,Other Agency (turned over to INS),NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,VIETNAM,PORTLAND DISTRICT OFFICE,NA,NA,2012,1,9,OR
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,CONGO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,9,WA
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,9,OR
2012-01-09,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,9,WA
