"","aor","apprehension_landmark","total"
"56","ATL","AUSTELL, GA",27
"57","ATL","AVERY COUNTY JAIL",9
"58","ATL","AVERY COUNTY, NC",7
"59","ATL","BACON COUNTY GA",17
"60","ATL","BAKER COUNTY JAIL, GA",1
"61","ATL","BALDWIN COUNTY GA",2
"62","ATL","BAMBERG COUNTY DETENTION CENTER",2
"63","ATL","BANKS COUNTY GA",8
"64","ATL","BANKS COUNTY PROBATION",1
"65","ATL","BARNWELL COUNTY JAIL",4
"66","ATL","BARNWELL COUNTY, SC",1
"67","ATL","BARROW COUNTY GA",30
"68","ATL","BARTOW COUNTY GA",17
"69","ATL","BARTOW COUNTY, GA",112
"70","ATL","BEAUFORT COUNTY DEPT. OF JUVENILE JUSTICE",6
"71","ATL","BEAUFORT COUNTY DETENTION CENTER",562
"72","ATL","BEAUFORT COUNTY FUGITIVE OPERATIONS",2
"73","ATL","BEAUFORT COUNTY JAIL",15
"74","ATL","BEAUFORT COUNTY, SC",49
"75","ATL","BEN HILL COUNTY JAIL, GA",1
"76","ATL","BERKELEY COUNTY DEPT. OF JUVENILE JUSTICE",1
"77","ATL","BERKELEY COUNTY DETENTION CENTER",273
"78","ATL","BERKELEY COUNTY, SC",145
"79","ATL","BERRIEN COUNTY, GA",2
"80","ATL","BERTIE COUNTY JAIL",11
"81","ATL","BIBB COUNTY, GA",15
"82","ATL","BIL GENERAL AREA, NON-SPECIFIC",1
"83","ATL","Bladen County Jail",17
"84","ATL","Bladen County Probation Elizabethtown, NC",1
"85","ATL","Bladen County, NC",1
"86","ATL","BLAIRSVILLE PROBATION OFFICE",3
"87","ATL","BLAIRSVILLE, GA",1
"88","ATL","BLECKLEY COUNTY, GA",1
"89","ATL","BLUE RIDGE PROBATION OFFICE",1
"90","ATL","BLUE RIDGE, GA",5
"91","ATL","BOGART, GA",7
"92","ATL","BOONE, NC",9
"93","ATL","BOP GILES W DALBY",2
"94","ATL","BRANTLEY COUNTY GA",8
"95","ATL","BREMEN, GA",1
"96","ATL","BROOKS COUNTY JAIL, GA",3
"97","ATL","BROOKS, GA  (FAYETTE COUNTY)",1
"98","ATL","BRUNSWICK CO PROBATION SHALOTTE",1
"99","ATL","Brunswick County",1
"100","ATL","BRUNSWICK COUNTY FUGITIVE OPERATIONS",3
"101","ATL","Brunswick County Jail",120
"102","ATL","BRUNSWICK COUNTY JAIL",1
"103","ATL","Brunswick County Probataion Govt. Center Dr. Bolivia, NC",1
"104","ATL","BRUNSWICK PROBATION OFFICE",4
"105","ATL","BRUNSWICK, GA",21
"106","ATL","BRYAN COUNTY JAIL",9
"107","ATL","BSD GENERAL AREA, NON-SPECIFIC",2
"108","ATL","BUCHANAN, GA",1
"109","ATL","BUFFALO GENERAL - Do Not Use",1
"110","ATL","BUFORD, GA",17
"111","ATL","BULLOCH COUNTY JAIL",32
"112","ATL","BUNCOMBE COUNTY JAIL",30
"113","ATL","BUNCOMBE COUNTY, NC",9
"114","ATL","BURKE COUNTY JAIL",27
"115","ATL","BURKE COUNTY, NC",2
"116","ATL","BURLINGTON, NC",13
"117","ATL","BUTNER BOP FACILITY",168
"118","ATL","BUTNER MEDICAL FACILITY",24
"119","ATL","BUTTS COUNTY JAIL",25
"120","ATL","BYRON, GA",4
"121","ATL","CABARRUS COUNTY JAIL",5
"122","ATL","Cabarrus County Jail 287G",1
"123","ATL","CABARRUS COUNTY JAIL 287G",196
"124","ATL","CABARRUS COUNTY, NC",35
"125","ATL","CAIRO, GA",22
"126","ATL","CALDWELL COUNTY JAIL",13
"127","ATL","CALDWELL COUNTY, NC",2
"128","ATL","CALHOUN COUNTY GA",3
"129","ATL","CALHOUN COUNTY PROBATION",2
"130","ATL","CALHOUN COUNTY, SC",1
"131","ATL","CALHOUN PROBATION OFFICE",1
"132","ATL","CALHOUN, GA",26
"133","ATL","CAMDEM COUNTY GA",1
"134","ATL","CAMDEN COUNTY GA",18
"135","ATL","CANTON PROBATION OFFICE",14
"136","ATL","CANTON, GA",89
"137","ATL","CAP - EASTERLING CORRECTIONAL FACILITY - DOC - AL STATE",1
"138","ATL","CAP - LIMESTONE COUTY JAIL, AL",1
"139","ATL","CAP - PUTNAM COUNTY PROBATION  NY STATE",1
"140","ATL","CAP-YRK GENERAL AREA, NON-SPECIFIC PA STATE",1
"141","ATL","CARNESVILLE, GA",4
"142","ATL","CARROLL COUNTY GA",20
"143","ATL","CARROLLTON PROBATION OFFICE",5
"144","ATL","CARROLLTON, GA",94
"145","ATL","CARTERET COUNTY FUGITIVE OPERATIONS",1
"146","ATL","Carteret County Jail",20
"147","ATL","Carteret County Probation Courthouse Square Beaufort, NC",1
"148","ATL","Carteret County, NC",2
"149","ATL","Carteret DOC",1
"150","ATL","CARTERSVILLE PROBATION OFFICE",1
"151","ATL","CARTERSVILLE, GA",70
"152","ATL","CASWELL COUNTY JAIL",10
"153","ATL","CASWELL COUNTY, NC",1
"154","ATL","CATAWBA COUNTY JAIL",32
"155","ATL","CATAWBA COUNTY, NC",10
"156","ATL","CATOOSA COUNTY, GA",14
"157","ATL","CAX GENERAL AREA, NON-SPECIFIC",1
"158","ATL","CCG GENERAL AREA, NON-SPECIFIC",7
"159","ATL","CCN GENERAL AREA, CABARRUS 287G",3
"160","ATL","CEDARTOWN PROBATION OFFICE",1
"161","ATL","CEDARTOWN, GA",45
"162","ATL","CENTERVILLE, GA (GWINNETT COUNTY)",2
"163","ATL","CHAMBLEE, GA",204
"164","ATL","CHARLESTON COUNTY DEPT. OF JUVENILE JUSTICE",3
"165","ATL","Charleston County Detention Center",153
"166","ATL","CHARLESTON COUNTY DETENTION CENTER",886
"167","ATL","CHARLESTON COUNTY, SC",653
"168","ATL","CHARLOTTE AIRPORT",6
"169","ATL","CHARLOTTE GENERAL AREA",1
"170","ATL","CHATHAM CO PROBATION SILER CITY",2
"171","ATL","CHATHAM COUNTY FUGITIVE OPERATIONS",24
"172","ATL","CHATHAM COUNTY GA",214
"173","ATL","CHATHAM COUNTY JAIL",21
"174","ATL","CHATHAM COUNTY, GA",8
"175","ATL","CHATSWORTH MUNICIPAL PROBATION",4
"176","ATL","CHATSWORTH, GA",22
"177","ATL","CHATTOOGA COUNTY, GA",11
"178","ATL","CHEROKEE COUNTY",37
"179","ATL","CHEROKEE COUNTY, GA",108
"180","ATL","CHEROKEE COUNTY, NC",2
"181","ATL","CHESTER COUNTY",17
"182","ATL","CHESTER COUNTY DETENTION CENTER",1
"183","ATL","CHESTER COUNTY, SC",2
"184","ATL","CHESTER, GA",1
"185","ATL","CHESTERFIELD COUNTY JAIL-VA",1
"186","ATL","CHESTERFIELD, SC",18
"187","ATL","CHI GENERAL AREA, NON-SPECIFIC",1
"188","ATL","CHL GENERAL AREA, NON-SPECIFIC",88
"189","ATL","CHOWAN COUNTY JAIL",4
"190","ATL","CI MCRAE",1606
"191","ATL","CITY OF GRAND JUNCTION",2
"192","ATL","CLARENDON COUNTY DEPT. OF JUVENILE JUSTICE",1
"193","ATL","CLARENDON COUNTY DETENTION CENTER",36
"194","ATL","CLARENDON COUNTY PROBATION & PAROLE OFFICE	",1
"195","ATL","CLARENDON COUNTY, SC",1
"196","ATL","CLARKESVILLE, GA",5
"197","ATL","CLARKSTON, GA",5
"198","ATL","CLAY COUNTY, GA",3
"199","ATL","CLAYTON COUNTY, GA",263
"200","ATL","CLAYTON PROBATION OFFICE",2
"201","ATL","CLAYTON, GA",13
"202","ATL","CLEVELAND COUNTY JAIL",13
"203","ATL","CLEVELAND COUNTY, NC",3
"204","ATL","CLEVELAND, GA",2
"205","ATL","CLM GENERAL AREA, NON-SPECIFIC",1
"206","ATL","COA GENERAL AREA, NON-SPECIFIC",1
"207","ATL","COBB COUNTY JAIL - 287(G)",1763
"208","ATL","COBB COUNTY STATE COURT PROBATION",4
"209","ATL","COBB COUNTY, GA",132
"210","ATL","COFFEE COUNTY GA",53
"211","ATL","COFFEE COUNTY, GA",2
"212","ATL","COHUTTA, GA",1
"213","ATL","COLLEGE PARK, GA (FULTON COUNTY)",10
"214","ATL","COLLETON COUNTY JAIL",56
"215","ATL","COLLETON COUNTY, SC",2
"216","ATL","COLQUITT COUNTY JAIL, GA",23
"217","ATL","COLQUITT COUNTY, GA",1
"218","ATL","COLQUITT, GA",4
"219","ATL","COLUMBIA COUNTY, GA",28
"220","ATL","Columbus County Jail",13
"221","ATL","COLUMBUS COUNTY JAIL",1
"222","ATL","Columbus County Probation 110 W. Smith St. Whiteville, NC",2
"223","ATL","Columbus County, NC",5
"224","ATL","Columbus DOC",16
"225","ATL","COLUMBUS, GA",11
"226","ATL","COMMERCE, GA",4
"227","ATL","CONYERS PAROLE",3
"228","ATL","CONYERS PROBATION OFFICE",6
"229","ATL","CONYERS, GA",66
"230","ATL","COOK COUNTY JAIL, GA",4
"231","ATL","COOLIDGE, GA",2
"232","ATL","CORDELE, GA",1
"233","ATL","CORNELIA, GA",3
"234","ATL","COVINGTON PROBATION OFFICE",5
"235","ATL","COVINGTON, GA",24
"236","ATL","COWETA COUNTY PROBATION",1
"237","ATL","COWETA COUNTY, GA",153
"238","ATL","CRAVEN COUNTY FUGITIVE OPERATIONS",1
"239","ATL","CRAVEN COUNTY JAIL",11
"240","ATL","CRAWFORD COUNTY, GA",1
"241","ATL","CRAWFORDVILLE, GA",1
"242","ATL","CRISP COUNTY JAIL, GA",43
"243","ATL","CSP SOLANO",1
"244","ATL","CUMBERLAND COUNTY FUGITIVE OPERATIONS",13
"245","ATL","CUMBERLAND COUNTY JAIL",59
"246","ATL","CUMMING PROBATION OFFICE",27
"247","ATL","CUMMING, GA",101
"248","ATL","CURRITUCK COUNTY JAIL",3
"249","ATL","D. RAY JAMES",2438
"250","ATL","DACULA, GA",5
"251","ATL","DADE COUNTY, GA",12
"252","ATL","DAHLONEGA, GA",2
"253","ATL","DAL COUNTY JAIL",1
"254","ATL","DALLAS COUNTY GENERAL AREA",2
"255","ATL","DALLAS, GA",3
"256","ATL","DALTON PROBATION OFFICE",4
"257","ATL","DALTON, GA (WHITFIELD COUNTY)",41
"258","ATL","DAMASCUS, GA (GORDON COUNTY)",1
"259","ATL","DANIELSVILLE, GA",3
"260","ATL","DARE COUNTY JAIL",33
"261","ATL","DARLINGTON COUNTY DETENTION CENTER",1
"262","ATL","DARLINGTON COUNTY, SC",47
"263","ATL","DAVIDSON COUNTY JAIL",48
"264","ATL","DAVIDSON COUNTY, NC",4
"265","ATL","DAVIE COUNTY JAIL",12
"266","ATL","DAVIE COUNTY, NC",3
"267","ATL","DAWSON COUNTY, GA",16
"268","ATL","DAWSON, GA",1
"269","ATL","DAWSONVILLE, GA",11
"270","ATL","DC JAIL - CENTRAL DETENTION - CENTRAL TREATMENT - DISTRICT OF COLUMBIA - DC",1
"271","ATL","DECATUR COUNTY JAIL, GA",5
"272","ATL","DECATUR COUNTY, GA",3
"273","ATL","DECATUR, GA",43
"274","ATL","DEKALB CENTRAL PROBATION OFFICE",4
"275","ATL","DEKALB COUNTY STATE COURT PROBATION",1
"276","ATL","DEKALB COUNTY, GA",125
"277","ATL","DEKALB PROBATION OFFICE",4
"278","ATL","DEPT OF CORRETIONS, TORRINGTON, WYOMING",1
"279","ATL","DETENTION AND REMOVAL OPERATIONS, HARLINGEN FIELD OFFICE",1
"280","ATL","DILLON COUNTY JAIL",36
"281","ATL","DILLON COUNTY, SC",4
"282","ATL","DOBSON, NC",3
"283","ATL","DODGE COUNTY, GA",12
"284","ATL","DOOLY COUNTY JAIL, GA",36
"285","ATL","DORAVILLE, GA",85
"286","ATL","DORCHESTER COUNTY DETENTION CENTER",66
"287","ATL","DORCHESTER COUNTY, SC",25
"288","ATL","DOUGHERTY COUNTY JAIL, GA",35
"289","ATL","DOUGLAS COUNTY, GA",44
"290","ATL","DOUGLAS, GA",14
"291","ATL","DOUGLASVILLE PROBATION OFFICE",4
"292","ATL","DOUGLASVILLE, GA (DOUGLAS COUNTY)",68
"293","ATL","DSM GENERAL AREA, NON-SPECIFIC IOWA",1
"294","ATL","DTN GENERAL AREA, NON-SPECIFIC",408
"295","ATL","DULUTH, GA",42
"296","ATL","DUNWOODY, GA",10
"297","ATL","DUPLIN COUNTY FUGITIVE OPERATIONS",64
"298","ATL","DUPLIN COUNTY JAIL",56
"299","ATL","DUPLIN COUNTY PROBATION KENANSVILLE NC",1
"300","ATL","DURHAM CO PROBATION 119 ORANGE ST DURHAM",4
"301","ATL","DURHAM CO PROBATION DURHAM CHAPEL HILL BLVD DURHAM",1
"302","ATL","DURHAM COUNTY FUGITIVE OPERATIONS",163
"303","ATL","DURHAM COUNTY JAIL",221
"304","ATL","EARLY COUNTY, GA",3
"305","ATL","EAST POINT, GA",19
"306","ATL","EASTERN REGIONAL RECEPTION AND DIAGNOSTIC CENTER, MISSOURI",1
"307","ATL","EATONTON, GA",1
"308","ATL","ECHOLS COUNTY SHERIFFS, GA",1
"309","ATL","EDGECOMB COUNTY FUGITIVE OPERATIONS",10
"310","ATL","EDGECOMB COUNTY JAIL",9
"311","ATL","EDGEFIELD, SC",38
"312","ATL","EFFINGHAM COUNTY, GA",25
"313","ATL","ELBERT COUNTY, GA",3
"314","ATL","ELBERTON, GA",3
"315","ATL","ELKIN, NC",2
"316","ATL","ELLIJAY, GA",19
"317","ATL","ESTILL FEDERAL CORRECTIONAL INSTITUTION",189
"318","ATL","EVANS COUNTY, GA",6
"319","ATL","FAIRBURN, GA",1
"320","ATL","FAIRFEILD COUNTY, SC",6
"321","ATL","FANNIN COUNTY, GA",3
"322","ATL","FAYETTE COUNTY, GA",66
"323","ATL","FAYETTEVILLE PROBATION OFFICE",1
"324","ATL","FAYETTEVILLE, GA",38
"325","ATL","FCI BEAUMONT, JEFFERSON COUNTY, TX",1
"326","ATL","FCI BENNETTSVILLE",395
"327","ATL","FCI EDGEFIELD",301
"328","ATL","FCI JESUP, GA",65
"329","ATL","FCI LA TUNA",1
"330","ATL","FCS GENERAL AREA, NON-SPECIFIC",6
"331","ATL","FEDERAL PROBATION & PAROLE - CHARLESTON DIVISION",1
"332","ATL","FIELD ARREST",22
"333","ATL","FL DEPARTMENT OF CORRECTIONS",1
"334","ATL","FLORENCE COUNTY DEPT. OF JUVENILE JUSTICE",1
"335","ATL","FLORENCE COUNTY DETENTION CENTER",80
"336","ATL","FLORENCE COUNTY, SC",2
"337","ATL","FLOWERY BRANCH, GA",2
"338","ATL","FLOYD COUNTY, GA",113
"339","ATL","FOLKSTON, GA",9
"340","ATL","FOREST PARK, GA",99
"341","ATL","FORSYTH COUNTY JAIL",273
"342","ATL","FORSYTH COUNTY JAIL, NC",9
"343","ATL","FORSYTH COUNTY, GA",103
"344","ATL","FORSYTH COUNTY, NC",25
"345","ATL","FORSYTH PROBATION OFFICE",3
"346","ATL","FORSYTH, GA",13
"347","ATL","FORT OGLETHORPE, GA",1
"348","ATL","FORT VALLEY, GA",3
"349","ATL","FRANKLIN CO PROBATION LOUISBURG",2
"350","ATL","FRANKLIN COUNTY FUGITIVE OPERATIONS",21
"351","ATL","FRANKLIN COUNTY JAIL",32
"352","ATL","FRANKLIN, NC",1
"353","ATL","FRANLKIN COUNTY, GA",15
"354","ATL","FT. BENNING, GA",2
"355","ATL","FTM-VCAS",1
"356","ATL","FUGITIVE OPERATIONS",1
"357","ATL","FUGOP - NON FUGITIVE",2
"358","ATL","FULTON COUNTY, GA",282
"359","ATL","GAINESVILLE PROBATION OFFICE",9
"360","ATL","GAINESVILLE, GA",33
"361","ATL","GAINSVILLE OFFICE (FEDERAL PROBATION & PAROLE)",1
"362","ATL","GARDEN CITY, GA",2
"363","ATL","GASTON COUNTY JAIL",15
"364","ATL","Gaston County Jail 287G",2
"365","ATL","GASTON COUNTY JAIL 287G",258
"366","ATL","GASTON COUNTY, NC",33
"367","ATL","GCJ GENERAL AREA, NON-SPECIFIC",51
"368","ATL","GCN GENERAL AREA, GASTON 287G",6
"369","ATL","GEORGETOWN COUNTY DETENTION CENTER",66
"370","ATL","GEORGETOWN COUNTY, SC",1
"371","ATL","GEORGIA CORRECTIONS CORPORATION, INC",2
"372","ATL","GILMER COUNTY, GA",21
"373","ATL","GLYNN COUNTY GA",94
"374","ATL","GLYNN COUNTY, GA",6
"375","ATL","GNS GENERAL AREA, NON-SPECIFIC",40
"376","ATL","GORDON COUNTY PROBATION",1
"377","ATL","GORDON COUNTY, GA",48
"378","ATL","GRADY COUNTY JAIL, GA",11
"379","ATL","GRADY COUNTY, GA",2
"380","ATL","GRAHAM, NC",60
"381","ATL","GRANVILLE CO PROBATION OXFORD",3
"382","ATL","GRANVILLE COUNTY JAIL",29
"383","ATL","GRANVILLE FUGITIVE OPERATIONS",16
"384","ATL","GREENE COUNTY FUGITIVE OPERATIONS",11
"385","ATL","GREENE COUNTY JAIL",11
"386","ATL","GREENE COUNTY, GA",5
"387","ATL","GREENSBORO GENERAL AREA",1
"388","ATL","GREENSBORO, GA",7
"389","ATL","GREENSBORO, NC",119
"390","ATL","GREENVILLE COUNTY",532
"391","ATL","GREENVILLE COUNTY PROBATION & PAROLE OFFICE",7
"392","ATL","GREENVILLE COUNTY, SC",1
"393","ATL","GREENVILLE, GA (CAMDEN COUNTY)",1
"394","ATL","GREENVILLE, GA (MERIWETHER COUNTY)",1
"395","ATL","GREENVILLE, SC",131
"396","ATL","GREENWOOD COUNTY, SC",94
"397","ATL","GRIFFIN, GA",14
"398","ATL","GRN GENERAL AREA, NON-SPECIFIC",109
"399","ATL","GROVETOWN MUNICIPAL PROBATION",1
"400","ATL","GROVETOWN, GA",52
"401","ATL","GRR GENERAL AREA, NON-SPECIFIC",52
"402","ATL","GSS GENERAL AREA, NON-SPECIFIC",1
"403","ATL","GUILFORD CO PROBATION S GREENE ST GREENSBORO",1
"404","ATL","GUILFORD COUNTY JAIL GREENSBORO",50
"405","ATL","GUILFORD COUNTY JAIL HIGH POINT",15
"406","ATL","GUILFORD COUNTY JAIL, NC",3
"407","ATL","GUILFORD COUNTY, NC",10
"408","ATL","GWINNETT COUNTY JAIL",234
"409","ATL","GWINNETT COUNTY JAIL - 287(G)",5734
"410","ATL","HABERSHAM COUNTY, GA",22
"411","ATL","HALIFAX COUNTY JAIL",6
"412","ATL","HALL COUNTY JAIL - 287(G)",1186
"413","ATL","HALL COUNTY, GA",8
"414","ATL","HAMPTON COUNTY DETENTION CENTER",15
"415","ATL","HAMPTON COUNTY, SC",3
"416","ATL","HAMPTON, GA",5
"417","ATL","HAPEVILLE, GA",5
"418","ATL","HARALSON COUNTY PROBATION",1
"419","ATL","HARALSON COUNTY, GA",3
"420","ATL","HARNETT COUNTY FUGITIVE OPERATIONS",29
"421","ATL","HARNETT COUNTY JAIL",64
"422","ATL","HARRIS COUNTY, GA",20
"423","ATL","HART COUNTY, GA",4
"424","ATL","HARTWELL, GA",2
"425","ATL","HAWKINSVILLE, GA",1
"426","ATL","HAYWOOD COUNTY JAIL",6
"427","ATL","HAYWOOD COUNTY, NC",2
"428","ATL","HAZELHURST PROBATION OFFICE",1
"429","ATL","HAZELHURST, GA (JEFF DAVIS COUNTY)",1
"430","ATL","HBG GENERAL AREA, NON-SPECIFIC",1
"431","ATL","HEARD COUNTY, GA",1
"432","ATL","HELENA, GA",1
"433","ATL","HEN GENERAL AREA, HENDERSON 287G",1
"434","ATL","HEN GENERAL AREA, NON-SPECIFIC",56
"435","ATL","HENDERSON COUNTY JAIL",96
"436","ATL","Henderson County Jail 287G",2
"437","ATL","HENDERSON COUNTY JAIL 287G",8
"438","ATL","HENDERSON COUNTY, NC",31
"439","ATL","HENDERSONVILLE, NC",3
"440","ATL","HENRY COUNTY, GA",48
"441","ATL","HEPHZIBAH, GA",5
"442","ATL","HERTFORD COUNTY JAIL",4
"443","ATL","HIAWASSEE, GA",1
"444","ATL","HIGH POINT, NC",44
"445","ATL","HIRAM, GA",2
"446","ATL","HOKE COUNTY FUGITIVE OPERATIONS",8
"447","ATL","HOKE COUNTY JAIL",27
"448","ATL","HOLLY SPRINGS, GA (CHEROKEE COUNTY)",18
"449","ATL","HOMER, GA",4
"450","ATL","HORRY COUNTY - J. RUEBEN LONG DETENTION CENTER",324
"451","ATL","HORRY COUNTY DEPT. OF JUVENILE JUSTICE",1
"452","ATL","HORRY COUNTY, SC",32
"453","ATL","HOUSTON COUNTY JAIL, GA",67
"454","ATL","HOUSTON COUNTY, GA",2
"455","ATL","INP GENERAL AREA, NON-SPECIFIC",1
"456","ATL","IREDELL CO PROBATION COOPER ST STATESVILLE",1
"457","ATL","IREDELL CO PROBATION N TRADD ST STATESVILLE",1
"458","ATL","IREDELL COUNTY JAIL",113
"459","ATL","IREDELL COUNTY, NC",5
"460","ATL","IRON CITY, GA",1
"461","ATL","IRWIN COUNTY JAIL, GA",3
"462","ATL","IRWING COUNTY, GA",17
"463","ATL","IRWINTON, GA",1
"464","ATL","JAC - FLORIDA DEPARTMENT OF CORRECTIONS",1
"465","ATL","JACKSON COUNTY JAIL",5
"466","ATL","JACKSON COUNTY, GA",33
"467","ATL","JACKSON COUNTY, NC",5
"468","ATL","JACKSON, GA",138
"469","ATL","JASPER COUNTY DEPT. OF JUVENILE JUSTICE",2
"470","ATL","JASPER COUNTY DETENTION CENTER",197
"471","ATL","JASPER COUNTY, GA",4
"472","ATL","JASPER COUNTY, SC",14
"473","ATL","JASPER PROBATION OFFICE",1
"474","ATL","JASPER, GA",7
"475","ATL","JEFF DAVIS COUNTY GA",4
"476","ATL","JEFFERSON COUNTY, GA",7
"477","ATL","JEFFERSON, GA (CAMDEN COUNTY)",5
"478","ATL","JEFFERSON, GA (JACKSON COUNTY)",18
"479","ATL","JEFFERSON, NC",4
"480","ATL","JENKINS COUNTY, GA",1
"481","ATL","JNA GENERAL AREA, NON-SPECIFIC",1
"482","ATL","JOHNSON COUNTY, GA",4
"483","ATL","JOHNSTON COUNTY FUGITIVE OPERATIONS",80
"484","ATL","JOHNSTON COUNTY JAIL",84
"485","ATL","JOHNSTON COUNTY SHERIFF",13
"486","ATL","JONES COUNTY FUGITIVE OPERATIONS",1
"487","ATL","Jones County Jail Trenton, NC",2
"488","ATL","JONES COUNTY, GA",1
"489","ATL","JONESBORO MUNICIPAL PROBATION",1
"490","ATL","JONESBORO, GA",146
"491","ATL","JRL GENERAL AREA, NON-SPECIFIC",384
"492","ATL","KENNER, LA",1
"493","ATL","KENNESAW, GA",2
"494","ATL","KERSHAW COUNTY, SC",50
"495","ATL","KIRKLAND RECEPTION AND EVALUATION CENTER",1
"496","ATL","KIRKLAND STATE PRISON, SC",123
"497","ATL","LA FAYETTE, GA",4
"498","ATL","LAF GENERAL AREA, NON-SPECIFIC",2
"499","ATL","LAFAYETTE PROBATION OFFICE",3
"500","ATL","LAGRANGE PROBATION OFFICE",1
"501","ATL","LAKE CITY, GA",3
"502","ATL","LAKE PARK, GA",3
"503","ATL","LAMAR COUNTY, GA",4
"504","ATL","LANCASTER COUNTY, SC",89
"505","ATL","LANIER COUNTY SHERIFFS, GA",2
"506","ATL","LAR GENERAL AREA, NON-SPECIFIC",4
"507","ATL","LAURENS COUNTY",23
"508","ATL","LAURENS COUNTY PROBATION & PAROLE OFFICE",1
"509","ATL","LAURENS COUNTY, GA",3
"510","ATL","LAWRENCEVILLE PROBATION OFFICE",32
"511","ATL","LAWRENCEVILLE, GA",96
"512","ATL","LEE COUNTY FUGITIVE OPERATIONS",16
"513","ATL","LEE COUNTY JAIL",36
"514","ATL","LEE COUNTY JAIL, GA",13
"515","ATL","LENOIR CO PROBATION 301 E KING ST KINSTON",4
"516","ATL","LENOIR COUNTY FUGITIVE OPERATIONS",21
"517","ATL","LENOIR COUNTY JAIL",20
"518","ATL","LENOIR, NC",3
"519","ATL","LEX GENERAL AREA, NON-SPECIFIC",124
"520","ATL","LEXINGTON COUNTY, SC",313
"521","ATL","LEXINGTON, GA",2
"522","ATL","LEXINGTON, NC",45
"523","ATL","LIBERTY COUNTY, GA",17
"524","ATL","LILBURN, GA",29
"525","ATL","LINCOLN CO PROBATION LINCOLNTON",1
"526","ATL","LINCOLN COUNTY JAIL",13
"527","ATL","LINCOLN COUNTY, NC",1
"528","ATL","LITHONIA, GA",8
"529","ATL","LOCUST GROVE, GA",3
"530","ATL","LOGANVILLE, GA",14
"531","ATL","LONG COUNTY GA",2
"532","ATL","LONG COUNTY, GA",1
"533","ATL","LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC",1
"534","ATL","LOUISVILLE, GA",2
"535","ATL","LOVEJOY, GA",8
"536","ATL","LOWNDES COUNTY JAIL, GA",47
"537","ATL","LOWNDES COUNTY, GA",2
"538","ATL","LRD GENERAL AREA, NON-SPECIFIC",1
"539","ATL","LUDOWICI, GA",1
"540","ATL","LUMPKIN COUNTY, GA",6
"541","ATL","LUMPKIN, GA (DAWSON COUNTY)",1
"542","ATL","LUMPKIN, GA (STEWART COUNTY)",7
"543","ATL","LYONS, GA",1
