"","apprehension_landmark","total"
"44","35TH DISTRICT COURT PROBATION, PLYMOUTH",1
"45","36TH DISTRICT COURT PROBATION, DETROIT",6
"46","37TH DISTRICT COURT PROBATION, WARREN",2
"47","39A DISTRICT COURT PROBATION, ROSEVILLE",1
"48","39TH CIRCUIT COURT PROBATION OFFICE, ADRIAN",4
"49","3RD CIRCUIT COURT PROBATION, LINCOLN PARK OFFICE, DETROIT",2
"50","40TH DISTRICT COURT PROBATION, ST. CLAIR SHORES",1
"51","41A DISTRICT COURT PROBATION, STERLING HEIGHTS",1
"52","41B DISTRICT COURT PROBATION, CLINTON TOWNSHIP",1
"53","42-2 DISTRICT COURT PROBATION, NEW BALTIMORE",1
"54","44TH DISTRICT COURT PROBATION, ROYAL OAK",1
"55","46TH DISTRICT COURT PROBATION, SOUTHFIELD",1
"56","47TH DISTRICT COURT PROBATION, FARMINGTON HILLS",1
"57","48TH DISTRICT COURT PROBATION, BLOOMFIELD HILLS",2
"58","50TH DISTRICT COURT PROBATION, PONTIAC",2
"59","52-1 DISTRICT COURT PROBATION, NOVI",12
"60","52-2 DISTRICT COURT PROBATION, CLARKSTON",2
"61","52-3 DISTRICT COURT PROBATION, ROCHESTER HILLS",5
"62","52-4 DISTRICT COURT PROBATION, TROY",3
"63","53RD DISTRICT COURT PROBATION, HOWELL",2
"64","54A DISTRICT COURT, LANSING, MICHIGAN",1
"65","54B DISTRICT COURT, EAST LANSING, MICHIGAN",2
"66","54TH CIRCUIT COURT PROBATION OFFICE, CARO",1
"67","56A DISTRICT COURT, CHARLOTTE, MICHIGAN",3
"68","56TH CIRCUIT COURT PROBATION",1
"69","60TH DISTRICT COURT PROBATION, MUSKEGON, MICHIGAN",1
"70","61ST DISTRICT COURT PROBATION",9
"71","61ST DISTRICT COURT, GRAND RAPIDS, MI",9
"72","62-A DISTRCIT COURT, WYOMING, MI",7
"73","62A DISTRICT COURT PROBATION, WYOMING, MI",17
"74","62B DISTRICT COURT PROBATION, KENTWOOD, MI",1
"75","63RD DISTRICT COURT PROBATION, GRAND RAPIDS",9
"76","70TH DISTRICT COURT PROBATION, SAGINAW",1
"77","77TH ST REGIONAL JAIL, LAPD",2
"78","78TH DISTRICT COURT PROBATION, OCEANA COUNTY",1
"79","86TH DISTRICT COURT PROBATION, LEELANAU COUNTY",2
"80","87B DISTRICT COURT PROBATION, KALKASAK COUNTY",1
"81","A - CALUMET COUNTY GENERAL AREA",5
"82","A - CALUMET COUNTY JAIL",24
"83","A - DODGE COUNTY GENERAL AREA",9
"84","A - DODGE COUNTY JAIL",26
"85","A - ERO-MIL KNAPP ST OFFICE",2
"86","A - FOND DU LAC COUNTY GENERAL AREA",10
"87","A - FOND DU LAC COUNTY JAIL",22
"88","A - GREEN LAKE COUNTY JAIL",1
"89","A - KENOSHA COUNTY GENERAL AREA",18
"90","A - KENOSHA COUNTY JAIL",69
"91","A - MANITOWOC COUNTY GENERAL AREA",2
"92","A - MANITOWOC COUNTY JAIL",20
"93","A - MILWAUKEE COUNTY HOUSE OF CORRECTIONS (HOC)",30
"94","A - MILWAUKEE COUNTY JAIL (CJF)",142
"95","A - OZAUKEE COUNTY GENERAL AREA",4
"96","A - OZAUKEE COUNTY JAIL",16
"97","A - RACINE COUNTY GENERAL AREA",31
"98","A - RACINE COUNTY JAIL",50
"99","A - SHEBOYGAN COUNTY DETENTION CENTER",17
"100","A - SHEBOYGAN COUNTY GENERAL AREA",9
"101","A - SHEBOYGAN COUNTY JAIL",42
"102","A - U.S. MARSHALL - EASTERN DISTRICT OF WISCONSIN",11
"103","A - WALWORTH COUNTY GENERAL AREA",16
"104","A - WALWORTH COUNTY JAIL",86
"105","A - WASHINGTON COUNTY GENERAL AREA",8
"106","A - WASHINGTON COUNTY JAIL",13
"107","A - WAUKESHA COUNTY GENERAL AREA",46
"108","A - WAUKESHA COUNTY JAIL",55
"109","A - WAUSHARA COUNTY GENERAL AREA",1
"110","A - WAUSHARA COUNTY JAIL",17
"111","A - WI DOC - DODGE CORRECTIONAL INSTITUTION",11
"112","A - WI DOC - FOX LAKE CORRECTIONAL INSTITUTION",3
"113","A - WI DOC - MILWAUKEE SECURE DETENTION FACILITY",2
"114","A - WI DOC - RACINE CORRECTIONAL INSTITUTION",232
"115","A - WI DOC - RED GRANITE CORRECTIONAL INSTITUTION",1
"116","A - WI DOC - TAYCHEEDAH CORRECTIONAL INSTITUTION",4
"117","A - WI DOC - WISCONSIN RESCOURCE CENTER",1
"118","A - WI DOC OSHKOSH CORRECTIONAL INSTITUTION",2
"119","A - WI DOC-RACINE CORRECTIONAL INSTITUTION",1
"120","A - WINNEBAGO COUNTY GENERAL AREA",1
"121","A - WINNEBAGO COUNTY JAIL",20
"122","A-Washington County Jail",5
"123","AB4 REFERRAL RIVERSIDE COUNTY",18
"124","AB4 REFERRAL SAN BERNARDINO COUNTY",34
"125","ABBEVILLE COUNTY",1
"126","ABBEVILLE COUNTY DETENTION CENTER",2
"127","ABBEVILLE, GA",2
"128","ABERDEEN CITY JAIL, WA",11
"129","ABERDEEN PROVING GROUND POLICE",1
"130","ABERDEEN TWP PD",6
"131","ABQ GENERAL AREA, NON-SPECIFIC",347
"132","ABRAM CURVE TO CHIMNEY PARK",1
"133","ABSECON POLICE DEPARTMENT",2
"134","ABT GENERAL AREA, NON-SPECIFIC",1
"135","ACADIA PARISH JAIL",1
"136","ACCOMACK COUNTY JAIL VA",67
"137","ACWORTH POLICE DEPARTMENT",5
"138","ACWORTH, GA",16
"139","ADA COUNTY COURTHOUSE",1
"140","ADA COUNTY FELONY PROBATION OFFICE ID",1
"141","ADA COUNTY GENERAL AREA ID",18
"142","ADA COUNTY JAIL ID",90
"143","ADA COUNTY MISDEMEANOR PROBATION OFFICE ID",1
"144","ADAIR COUNTY IOWA",2
"145","ADAIR COUNTY JAIL",33
"146","ADAIR COUNTY JAIL, KY",1
"147","ADAIR COUNTY REGIONAL JAIL, KY",8
"148","ADAIR COUNTY SHERIFF'S DEPARTMENT, MISSOURI",2
"149","ADAIRSVILLE, GA",1
"150","ADAMS CO. JAIL",26
"151","Adams County",35
"152","ADAMS COUNTY",285
"153","Adams County Correctional Center",1188
"154","ADAMS COUNTY CORRECTIONAL CENTER, NATCHEZ, MS",216
"155","ADAMS COUNTY IOWA",1
"156","ADAMS COUNTY JAIL",821
"157","ADAMS COUNTY JAIL, NE",8
"158","ADAMS COUNTY MISDEMEANOR PROBATION OFFICE ID",2
"159","Adams County Probation",58
"160","ADAMS COUNTY PROBATION",8
"161","ADAMS COUNTY PROBATION OFFICE",97
"162","ADAMS COUNTY SHERIFF'S OFFICE",12
"163","ADAMS COUNTY, MS",1
"164","ADAMS YOUTH SERVICES CENTER",1
"165","ADC CUMMINS UNIT",20
"166","ADC DELTA REGIONAL UNIT",12
"167","ADC DIAGNOSTIC UNIT",6
"168","ADC EAST ARKANSAS REGIONAL UNIT",7
"169","ADC GRIMES UNIT",32
"170","ADC MCPHERSON UNIT",5
"171","ADC NORTH CENTRAL UNIT",14
"172","ADC OUACHITA RIVER UNIT",37
"173","ADC RANDALL L. WILLIAMS UNIT",10
"174","ADC TUCKER UNIT",12
"175","ADC VARNER UNIT",19
"176","ADC WRIGHTSVILLE UNIT",15
"177","ADDISON CITY JAIL",47
"178","ADE GENERAL AREA, NON-SPECIFIC",1773
"179","ADELANTO CCF (STATE) ADELANTO, CA",4
"180","ADELANTO, CA ICE FACILITY",393
"181","ADRIAN, GA",1
"182","ADULT DIAGNOSTIC AND TREATMENT CENTER",67
"183","ADULT PROBATIONS AND PAROLE",2
"184","AGA GENERAL AREA, NON-SPECIFIC",251
"185","AGU GENERAL AREA, NON-SPECIFIC",20
"186","AGUADILLA, PUERTO RICO",1
"187","AIBONITO, PR/ BOOKING STATION",1
"188","AIKEN COUNTY, SC",151
"189","AIRWAY HEIGHTS",114
"190","AK PROBATION ANCHORAGE",3
"191","AL State at-large",26
"192","AL State Probation Mobile, AL",1
"193","ALACHUA COUNTY PROBATION & PAROLE",6
"194","ALAMANCE COUNTY JAIL",73
"195","ALAMANCE COUNTY JAIL, NC",6
"196","ALAMANCE COUNTY, NC",6
"197","ALAMEDA CITY JAIL",1
"198","ALAMEDA COUNTY JAIL - GLENN E. DYER DETENTION FACILITY",58
"199","ALAMEDA COUNTY JAIL - SANTA RITA",645
"200","ALAMO CITY JAIL TX - TX1080100",45
"201","ALAMO, GA",1
"202","ALAMOGORDO, NEW MEXICO",1
"203","ALAMOSA COUNTY",11
"204","ALAMOSA COUNTY JAIL",26
"205","ALB GENERAL AREA, NON-SPECIFIC",291
"206","ALBANY CITY COURT",2
"207","ALBANY COUNTY",98
"208","ALBANY COUNTY JAIL",17
"209","ALBANY COUNTY JAIL, LARAMIE, WYOMING",15
"210","ALBANY COUNTY PROBATION",7
"211","ALBANY COUNTY SHERIFS OFFICE",5
"212","ALBANY COUNTY, WYOMING",1
"213","Albany ICE Hold Room",29
"214","ALBANY ICE SUB-OFFICE",172
"215","ALBANY POLICE DEPARTMENT",18
"216","ALBANY, GA",3
"217","ALBEMARLE/CHARLOTTESVILLE REGIONAL JAIL - VA",64
"218","ALBION CORRECTIONAL FACILITY",71
"219","ALCORN COUNTY, MS",1
"220","ALEXANDER CO PROBATION TAYLORSVILLE",1
"221","ALEXANDER COUNTY JAIL",9
"222","ALEXANDER COUNTY, NC",1
"223","ALEXANDRIA CITY JAIL - VA",370
"224","ALFALFA COUNTY JAIL",5
"225","ALGER COUNTY JAIL,  MUNISING, MI",1
"226","ALHAMBRA POLICE DEPT, ALHAMBRA, CA",1
"227","ALLAMAKEE COUNTY JAIL, IA",15
"228","ALLEGAN COUNTY DISTRICT COURT PROBATION",3
"229","ALLEGAN COUNTY JAIL, ALLEGAN, MI",131
"230","ALLEGAN, MICHIGAN",13
"231","ALLEGANY COUNTY DETENTION CENTER",3
"232","ALLEGANY COUNTY DISTRICT/CIRCUIT COURT",1
"233","ALLEGANY COUNTY JAIL",8
"234","ALLEGANY COUNTY MD",3
"235","ALLEGANY COUNTY SHERIFF",3
"236","ALLEGHANY COUNTY JAIL",25
"237","ALLEGHANY COUNTY JAIL, NC",1
"238","ALLEGHANY COUNTY REGIONAL JAIL-VA",7
"239","ALLEGHANY COUNTY, NC",1
"240","ALLEGHENY COUNTY JAIL",96
"241","ALLEN COUNTY JAIL",10
"242","ALLEN COUNTY JAIL, KY",7
"243","ALLEN COUNTY SHERIFF'S OFFICE, FT. WAYNE, IN",97
"244","ALLEN PARK, MICHIGAN",5
"245","ALLEN POLICE DEPARTMENT",84
"246","ALLENDALE CORRECTIONAL INSTITUTION",30
"247","ALLENDALE COUNTY DETENTION CENTER",2
"248","ALLENHURST PD",2
"249","ALLENTOWN POLICE DEPARTMENT - ALLENTOWN, PA",5
"250","ALLENWOOD AOR FUGITIVE OPERATIONS",7
"251","ALLENWOOD FUGITIVE OPERATIONS",23
"252","ALLENWOOD VCAS",6
"253","ALMONT, MICHIGAN",1
"254","ALPHA PD",2
"255","ALPHARETTA, GA",45
"256","ALPINE PD",1
"257","ALTERNATIVE PROBATION SERVICES, INC",1
"258","ALTERNATIVE TO DETENTION CA STATE ARREST",1
"259","ALTERNATIVES TO DETENTION",112
"260","ALTON CITY JAIL, TX",11
"261","ALTONA CORRECTIONAL FACILITY",1
"262","ALVIN POLICE DEPT, BRAZORIA COUNTY, TX",43
"263","AMADOR COUNTY JAIL",1
"264","AMADOR COUNTY PROBATION OFFICE",1
"265","AMERICUS, GA",1
"266","AMSTERDAM POLICE DEPARTMENT NY STATE",19
"267","AMT GENERAL AREA, NON-SPECIFIC",24
"268","ANAHEIM, CA",4
"269","ANC GENERAL AREA, NON-SPECIFIC",1
"270","Anchorage CAP",19
"271","ANCHORAGE CORRECTIONAL COMPLEX",23
"272","ANCHORAGE NON-DETAINED DOCKET",31
"273","AND GENERAL AREA, NON-SPECIFIC",1
"274","ANDERSON COUNTY",101
"275","ANDERSON COUNTY CRIM AT LARGE",8
"276","ANDERSON COUNTY DEPT. OF JUVENILE JUSTICE",1
"277","ANDERSON COUNTY GEN AREA, NON-SPECIFIC",1
"278","ANDERSON COUNTY JAIL",4
"279","ANDERSON COUNTY JAIL, TN",36
"280","ANDERSON COUNTY PROBATION",16
"281","ANDERSON COUNTY PROBATION & PAROLE OFFICE",1
"282","ANDERSON COUNTY SHERIFFS OFFICE",5
"283","ANDREW COUNTY SHERIFFS OFFICE MISSOURI",2
"284","ANDREWS COUNTY JAIL",9
"285","ANDROSCOGGIN COUNTY JAIL, AUBURN",5
"286","ANGELINA COUNTY JAIL, LUFKIN, TX",31
"287","ANGELINA COUNTY PROBATION, LUFKIN, TX",2
"288","ANGLETON, TEXAS",10
"289","ANN ARBOR, MICHIGAN",61
"290","ANNE ARUNDEL COUNTY DETENTION CENTER",87
"291","ANNE ARUNDEL COUNTY DISTRICT/CIRCUIT COURT",4
"292","ANNE ARUNDEL COUNTY MD",316
"293","ANNE ARUNDEL COUNTY POLICE DEPARTMENT",6
"294","ANOKA COUNTY JAIL, MN",159
"295","ANOKA COUNTY WORK RELEASE, MN",9
"296","ANSON COUNTY JAIL",1
"297","ANTHONY- DISTRICT OFFICE 3D",1
"298","ANTHONY-DISTRICT OFFICE 3D",18
"299","ANTRIM COUNTY JAIL, BELLAIRE, MI",3
"300","APACHE JUNCTION POLICE DEPARTMENT",4
"301","APF GENERAL AREA, NON-SPECIFIC",4
"302","APPLING COUNTY GA",28
"303","APPLING, GA",6
"304","ARANSAS COUNTY JAIL, ROCKPORT, TX",71
"305","ARANSAS COUNTY PROBATION, ROCKPORT, TX",1
"306","ARAPAHOE COUNTY",518
"307","ARAPAHOE COUNTY JAIL",136
"308","ARAPAHOE COUNTY PROBATION OFFICE",134
"309","ARCADIA POLICE DEPT, ARCADIA, CA",1
"310","ARCHER COUNTY SHERIFFS OFFICE",5
"311","ARCHULETA COUNTY",4
"312","ARCHULETA COUNTY COURTHOUSE",1
"313","ARCHULETA COUNTY JAIL",1
"314","ARCHULETA COUNTY PROBATION OFFICE",18
"315","ARCOLA POLICE DEPT, FT BEND CO, TX",3
"316","ARECIBO PROBATION",1
"317","ARIZONA DEPARTMENT OF CORRECTIONS",143
"318","ARIZONA DEPARTMENT OF PUBLIC SAFETY",8
"319","ARKANSAS COUNTY JAIL",3
"320","ARLINGTON COUNTY JAIL - VA",333
"321","ARLINGTON POLICE DEPARTMENT",555
"322","ARMSTRONG COUNTY JAIL",3
"323","ARREST AT 333",28
"324","ARREST AT USCIS",1
"325","ARTESIA WELLS, TX. (I-35)",1
"326","ASBURY PARK PD",19
"327","ASCENSION PARISH PRISON",169
"328","ASHE COUNTY JAIL",10
"329","ASHE COUNTY JAIL, NC",1
"330","ASHE COUNTY, NC",3
"331","ASHEBORO, NC",29
"332","ASHEVILLE, NC",40
"333","ASHLAND COUNTY JAIL",3
"334","ASHLEY COUNTY JAIL",4
"335","ASPEN, COLORADO",1
"336","ASSUMPTION PARISH, LA",12
"337","ASTABULA COUNTY JAIL",7
"338","ATASCOSA COUNTY JAIL - TX0070000",23
"339","ATCHISON COUNTY SHERIFFS OFFICE MISSOURI",1
"340","ATD CA STATE",2
"341","ATD MA STATE",92
"342","ATD NY STATE",127
"343","ATD, AL STATE",4
"344","ATHENS DIVISION (FEDERAL PROBATION & PAROLE)",4
"345","ATHENS DRC PROBATION",1
"346","ATHENS PROBATION OFFICE",17
"347","ATHENS-CLARK COUNTY",11
"348","ATHENS-CLARKE COUNTY PROBATION",16
"349","ATHENS, GA",65
"350","ATKINSON COUNTY GA",47
"351","ATL GENERAL AREA, NON-SPECIFIC",31
"352","ATLANTA CENTRAL PROBATION",39
"353","ATLANTA COURT SERVICES",3
"354","ATLANTA METRO DRC PROBATION",2
"355","ATLANTA PROBATION",4
"356","ATLANTA, GA",5305
"357","ATLANTIC CITY",1
"358","ATLANTIC CITY POLICE DEPARTMENT",16
"359","ATLANTIC COUNTY JAIL",2
"360","ATLANTIC COUNTY SHERIFF",2
"361","ATLANTIC COUNTY, NEW JERSEY",129
"362","ATLANTIC HIGHLANDS PD",1
"363","ATTALA COUNTY, MS",2
"364","ATWATER - FCI",178
"365","ATWATER POLICE DEPARTMENT",1
"366","Auburn City Police Department",1
"367","AUBURN HILLS, MICHIGAN",7
"368","AUDRAIN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",9
"369","AUGLAIZE COUNTY JAIL",8
"370","AUGUSTA CORRECTIONAL CENTER - VA",2
"371","AUGUSTA PROBATION OFFICE",3
"372","AUGUSTA-RICHMOND COUNTY GA",47
"373","AUGUSTA, GA",58
"374","AURORA CITY JAIL",50
"375","AUS GENERAL AREA, NON-SPECIFIC",2846
"376","AUSTELL, GA",27
"377","AUSTIN COUNTY JAIL, SEALY, TX",34
"378","AUSTIN COUNTY PROBATION, BELLVILLE, TX",3
"379","AUSTIN POLICE DEPARTMENT - TX2270100",17
"380","AUSTIN, TX",85
"381","AUTAUGA COUNTY JAIL, PRATTVILLE, AL",1
"382","AVALON POLICE DEPARTMENT",1
"383","AVENAL STATE PRISON",311
"384","AVERY COUNTY JAIL",9
"385","AVERY COUNTY, NC",7
"386","AVON BY THE SEA PD",2
"387","AYER DISTRICT COURT",7
"388","AYER POLICE DEPT",1
"389","AZ DOC - ALHAMBRA (IRP)",1
"390","AZLE POLICE DEPARTMENT",3
"391","AZUSA POLICE DEPT, AZUSA, CA",1
"392","B - ADAMS COUNTY JAIL",2
"393","B - COLUMBIA COUNTY GENERAL AREA",4
"394","B - COLUMBIA COUNTY JAIL",14
"395","B - DANE COUNTY GENERAL AREA",116
"396","B - DANE COUNTY JAIL",145
"397","B - FEDERAL CORRECTIONAL INSTITUTION, OXFORD, WI",64
"398","B - FEDERAL PRISON CAMP, OXFORD, WI",6
"399","B - GRANT COUNTY GENERAL AREA",1
"400","B - GRANT COUNTY JAIL",6
"401","B - GREEN COUNTY GENERAL AREA",3
"402","B - GREEN COUNTY JAIL",5
"403","B - IOWA COUNTY GENERAL AREA",3
"404","B - IOWA COUNTY JAIL",3
"405","B - JEFFERSON COUNTY GENERAL AREA",26
"406","B - JEFFERSON COUNTY JAIL",38
"407","B - JUNEAU COUNTY GENERAL AREA",3
"408","B - JUNEAU COUNTY JAIL",1
"409","B - LA CROSSE COUNTY GENERAL AREA",3
"410","B - LA CROSSE COUNTY JAIL",8
"411","B - LAFAYETTE COUNTY GENERAL AREA",5
"412","B - LAFAYETTE COUNTY JAIL",16
"413","B - MONROE COUNTY GENERAL AREA",4
"414","B - MONROE COUNTY JAIL",19
"415","B - RICHLAND COUNTY GENERAL AREA",2
"416","B - RICHLAND COUNTY JAIL",1
"417","B - ROCK COUNTY GENERAL AREA",35
"418","B - ROCK COUNTY JAIL",41
"419","B - SAUK COUNTY GENERAL AREA",17
"420","B - SAUK COUNTY JAIL",46
"421","B - U.S. MARSHALL - WESTERN DISTRICT OF WISCONSIN",12
"422","B - VERNON COUNTY JAIL",2
"423","BACON COUNTY GA",17
"424","BAILEY COUNTY JAIL",116
"425","BAKER COUNTY JAIL, GA",1
"426","BAKER COUNTY JAIL, OREGON",1
"427","BAKERSFIELD ERO SUB-OFFICE",81
"428","BAKERSFIELD RESIDENCE",6
"429","BALCH SPRINGS POLICE DEPARTMENT",83
"430","BALDWIN COUNTY CORRECTIONAL CENTER, AL",147
"431","BALDWIN COUNTY GA",2
"432","BALLARD COUNTY DETENTION CTR, KY",2
"433","BALLWIN POLICE DEPARTMENT, MISSOURI",2
"434","BALTIMORE CITY CENTRAL BOOKING",15
"435","BALTIMORE CITY DETENTION CENTER",66
"436","BALTIMORE CITY DISTRICT/CIRCUIT COURT",1
"437","BALTIMORE CITY MD",1324
"438","BALTIMORE CITY POLICE DEPARTMENT",2
"439","BALTIMORE COUNTY BUREAU OF CORRECTIONS",55
"440","BALTIMORE COUNTY DISTRICT/CIRCUIT COURT",5
"441","BALTIMORE COUNTY MD",359
"442","BALTIMORE COUNTY POLICE DEPARTMENT",4
"443","BALTIMORE ISAP OFFICE",5
"444","BAMBERG COUNTY DETENTION CENTER",2
"445","BANDERA COUNTY JAIL - TX0100000",9
"446","BANKS COUNTY GA",8
"447","BANKS COUNTY PROBATION",1
"448","BANNOCK COUNTY JAIL ID",16
"449","BANNOCK COUNTY MISDEMEANOR PROBATION OFFICE ID",1
"450","BARAGA CORRECTIONAL FACILITY, BARAGA, MI",1
"451","BARBER COUNTY SHERIFFS, MEDICINE LODGE, KANSAS",1
"452","BARNEGAT TOWNSHIP POLICE DEPARTMENT",1
"453","BARNES CO CORRECTIONAL FACILITY,VALLEY CITY, ND",1
"454","BARNSTABLE COUNTY HOC",2
"455","BARNSTABLE DISTRICT COURT",1
"456","BARNWELL COUNTY JAIL",4
"457","BARNWELL COUNTY, SC",1
"458","BARREN COUNTY CORRECTIONS CTR, KY",45
"459","BARRINGTON POLICE DEPARTMENT",1
"460","BARROW COUNTY GA",30
"461","BARRY COUNTY JAIL, HASTINGS, MI",12
"462","BARRY COUNTY SHERIFFS OFFICE, MISSOURI",16
"463","BARSTOW JAIL (SBSD) BARSTOW, CA",7
"464","BARTHOLOMEW COUNTY SHERIFF'S OFFICE, COLUMBUS, IN",70
"465","BARTLETT STATE JAIL, BARTLETT, TEXAS",2
"466","BARTON COUNTY SHERIFFS OFFICE, MISSOURI",1
"467","BARTON COUNTY SHERIFFS, GREAT BEND, KANSAS",22
"468","BARTOW COUNTY GA",17
"469","BARTOW COUNTY, GA",112
"470","BASALT, COLORADO",1
"471","BASKERVILLE CORRECTIONAL CENTER - VA",1
"472","BASKERVILLE CORRECTIONAL CENTER-VA",2
"473","BASTROP COUNTY JAIL, BASTROP, TEXAS",362
"474","BASTROP FEDERAL CORRECTIONAL INST., BASTROP, TEXAS",32
"475","BATAVIA FUGITIVE OPERATIONS",159
"476","BATAVIA POLICE DEPARTMENT",1
"477","BATAVIA, ALBION, ELBA FUGOPS",19
"478","BATES COUNTY SHERIFFS OFFICE MISSOURI",5
"479","BATH COUNTY JAIL, KY",1
"480","BATOWN POLICE DEPT, HARRIS COUNTY, TX",10
"481","BATTLE CREEK, MICHIGAN",41
"482","BAXTER COUNTY JAIL",5
"483","BAY CITY, MICHIGAN",1
"484","BAY COUNTY JAIL, BAY CITY, MI",2
"485","BAYAMON CORRECTIONAL INSTITUTION",29
"486","BAYAMON PROBATION OFFICE",1
"487","BAYAMON, PR/ DETAINER",2
"488","BAYONNE PD",18
"489","BAYOU LA BATRE PD, AL",7
"490","BAYOU VISTA POLICE DEPT, SANTA FE, GALVESTON CO",2
"491","BAYOU VISTA POLICE DEPT, SANTA FE, GALVESTON COUNTY, TX",1
"492","BAYTOWN POLICE DEPT, HARRIS CO, TX",6
"493","BAYTOWN, TEXAS",34
"494","BDC GENERAL AREA, NON-SPECIFIC",5
"495","BEA GENERAL AREA, NON-SPECIFIC",58
"496","BEADLE CO REGIONAL CORR. CENT., HURON, SD",79
"497","BEAUFORT COUNTY DEPT. OF JUVENILE JUSTICE",6
"498","BEAUFORT COUNTY DETENTION CENTER",562
"499","BEAUFORT COUNTY FUGITIVE OPERATIONS",2
"500","BEAUFORT COUNTY JAIL",15
"501","BEAUFORT COUNTY, SC",49
"502","BEAUMONT POLICE DEPT, JEFFERSON CO, TX",2
"503","BEAUMONT POLICE DEPT, JEFFERSON COUNTY, TX",10
"504","BEAUMONT, TEXAS",68
"505","BEAVER COUNTY JAIL",24
"506","BEAVER COUNTY JAIL, UT",11
"507","BEAVERHEAD COUNTY JAIL MT",2
"508","BECKER COUNTY JAIL, MN",5
"509","BECKHAM COUNTY JAIL",8
"510","BEDFORD COUNTY JAIL, TN",77
"511","BEDFORD COUNTY PRISON",4
"512","BEDFORD POLICE DEPARTMENT",27
"513","BEE COUNTY JAIL, BEEVILLE, TX",22
"514","BELKNAP COUNTY DOC",8
"515","BELKNAP COUNTY NH",16
"516","BELL COUNTY DETENTION CTR, KY",4
"517","BELL COUNTY JAIL, BELTON, TEXAS",265
"518","BELL FOURCHE, SOUTH DAKOTA",2
"519","BELL POLICE DEPT, BELL, CA",7
"520","BELLAIRE POLICE DEPT, HARRIS COUNTY, TX",3
"521","BELLAIRE POLICE POLICE DEPT, HARRIS CO, TX",3
"522","BELLAMY CREEK CORRECTIONAL FACILITY, IONIA, MI",4
"523","BELLEVILLE PD",5
"524","BELLMAWR POLICE DEPARTMENT",1
"525","Bellwood Police Department",1
"526","BELMAR PD",8
"527","BELMONT COUNTY JAIL",4
"528","BELMONT POLICE DEPARTMENT",1
"529","BELTON MISSOURI POLICE DEPARTMENT",33
"530","BELTON, TEXAS",48
"531","BELTRAMI COUNTY JAIL, MN",1
"532","BELVIDERE PD",2
"533","BEN HILL COUNTY JAIL, GA",1
"534","BENBROOK POLICE DEPARTMENT",7
"535","BENTON CO. JAIL",367
"536","BENTON COUNTY 287G JAIL ENFORCEMENT OFFICER",24
"537","BENTON COUNTY JAIL",245
"538","Benton County Jail 287(g)",123
"539","BENTON COUNTY JAIL, IA",9
"540","BENTON COUNTY JAIL, MN",15
