"","aor","apprehension_landmark","total"
"111","ATL","BIBB COUNTY STATE COURT PROBATION",1
"112","ATL","BIBB COUNTY, GA",57
"113","ATL","BIL GENERAL AREA, NON-SPECIFIC",1
"114","ATL","BLADEN COUNTY FUGITIVE OPERATIONS",4
"115","ATL","BLADEN COUNTY JAIL",38
"116","ATL","BLADEN COUNTY, NC",23
"117","ATL","BLAIRSVILLE PROBATION OFFICE",5
"118","ATL","BLAIRSVILLE, GA",2
"119","ATL","BLECKLEY COUNTY, GA",9
"120","ATL","BLUE RIDGE PROBATION OFFICE",1
"121","ATL","BLUE RIDGE, GA",6
"122","ATL","BOGART, GA",11
"123","ATL","BOONE, NC",17
"124","ATL","BOP FEDERAL CORRECTIONAL INSTITUTION MIAMI",1
"125","ATL","BOP FEDERAL DETENTION CENTER MIAMI",1
"126","ATL","BOP GILES W DALBY",2
"127","ATL","BOPFCI WINTON, NC",1
"128","ATL","BOWDON,GA",4
"129","ATL","BRANTLEY COUNTY GA",12
"130","ATL","BRASELTON, GA",3
"131","ATL","BREMEN, GA",4
"132","ATL","BRK GENERAL AREA, NON-SPECIFIC",1
"133","ATL","BROOKS COUNTY JAIL, GA",28
"134","ATL","BROOKS, GA  (FAYETTE COUNTY)",1
"135","ATL","BROWARD COUNTY MAIN JAIL",1
"136","ATL","BRUNSWICK CO PROBATION SHALOTTE",3
"137","ATL","BRUNSWICK COUNTY",2
"138","ATL","BRUNSWICK COUNTY FUGITIVE OPERATIONS",8
"139","ATL","BRUNSWICK COUNTY JAIL",144
"140","ATL","BRUNSWICK PROBATION OFFICE",4
"141","ATL","BRUNSWICK, GA",30
"142","ATL","BRYAN COUNTY JAIL",16
"143","ATL","BSD GENERAL AREA, NON-SPECIFIC",2
"144","ATL","BUCHANAN, GA",2
"145","ATL","BUCKINGHAM CORRECTIONAL CENTER-VA",1
"146","ATL","BUENA VISTA",1
"147","ATL","BUENA VISTA, GA",1
"148","ATL","BUFFALO GENERAL - Do Not Use",1
"149","ATL","BUFORD, GA",37
"150","ATL","BULLOCH COUNTY JAIL",86
"151","ATL","BUMCONBE COUNTY, NC",4
"152","ATL","BUNCOMBE CO PROBATION 77 MCDOWELL ST ASHEVILLE",1
"153","ATL","BUNCOMBE COUNTY JAIL",146
"154","ATL","BUNCOMBE COUNTY JAIL, NC",5
"155","ATL","BUNCOMBE COUNTY, NC",41
"156","ATL","BURKE COUNTY JAIL",62
"157","ATL","BURKE COUNTY JAIL, NC",1
"158","ATL","BURKE COUNTY,",11
"159","ATL","BURKE COUNTY, NC",12
"160","ATL","BURLINGTON, NC",35
"161","ATL","BUTNER BOP FACILITY",653
"162","ATL","BUTNER MEDICAL FACILITY",96
"163","ATL","BUTTS COUNTY JAIL",66
"164","ATL","BYRON, GA",4
"165","ATL","Bladen County Jail",24
"166","ATL","Bladen County Probation Elizabethtown, NC",1
"167","ATL","Bladen County, NC",3
"168","ATL","Brunswick County",3
"169","ATL","Brunswick County Jail",193
"170","ATL","Brunswick County Probataion Govt. Center Dr. Bolivia, NC",2
"171","ATL","Brunswick County Probatio Shallotte, NC",1
"172","ATL","CABARRUS CO PROBATION CONCORD",1
"173","ATL","CABARRUS COUNTY JAIL",67
"174","ATL","CABARRUS COUNTY JAIL 287G",404
"175","ATL","CABARRUS COUNTY, NC",85
"176","ATL","CAC GENERAL AREA, NON-SPECIFIC",9
"177","ATL","CAIRO, GA",23
"178","ATL","CALDWELL COUNTY JAIL",101
"179","ATL","CALDWELL COUNTY JAIL, NC",1
"180","ATL","CALDWELL COUNTY, NC",17
"181","ATL","CALHOUN COUNTY GA",4
"182","ATL","CALHOUN COUNTY PROBATION",2
"183","ATL","CALHOUN COUNTY, GA",3
"184","ATL","CALHOUN COUNTY, SC",5
"185","ATL","CALHOUN PROBATION OFFICE",1
"186","ATL","CALHOUN, GA",75
"187","ATL","CAMDEM COUNTY GA",1
"188","ATL","CAMDEN COUNTY GA",44
"189","ATL","CANDLER COUNTY GA",9
"190","ATL","CANDLER COUNTY, GA",7
"191","ATL","CANTON PROBATION OFFICE",17
"192","ATL","CANTON, GA",170
"193","ATL","CAP - BOP BROOKLYN NY STATE",2
"194","ATL","CAP - BRONX CENTRAL BOOKING NY STATE",1
"195","ATL","CAP - EASTERLING CORRECTIONAL FACILITY - DOC - AL STATE",1
"196","ATL","CAP - LIMESTONE COUTY JAIL, AL",1
"197","ATL","CAP - PUTNAM COUNTY PROBATION  NY STATE",1
"198","ATL","CAP - STATON CORRECTIONAL FACILITY - DOC - AL STATE",1
"199","ATL","CAP ADOC TUCSON AZ STATE",2
"200","ATL","CAP USP TUCSON AZ STATE AZ STATE",1
"201","ATL","CAP-PADOC SCI-CAMP HILL PA STATE",6
"202","ATL","CAP-YORK COUNTY PRISON PA STATE",1
"203","ATL","CAP-YRK GENERAL AREA, NON-SPECIFIC PA STATE",1
"204","ATL","CARNESVILLE, GA",8
"205","ATL","CARROLL COUNTY GA",113
"206","ATL","CARROLLTON PROBATION OFFICE",9
"207","ATL","CARROLLTON, GA",176
"208","ATL","CARTERET COUNTY FUGITIVE OPERATIONS",1
"209","ATL","CARTERET COUNTY JAIL",34
"210","ATL","CARTERET COUNTY, NC",10
"211","ATL","CARTERSVILLE PROBATION OFFICE",1
"212","ATL","CARTERSVILLE, GA",194
"213","ATL","CASWELL CO PROBATION YANCEYVILLE",1
"214","ATL","CASWELL COUNTY JAIL",19
"215","ATL","CASWELL COUNTY, NC",5
"216","ATL","CATAWBA CO PROBATION 26TH ST HICKORY",5
"217","ATL","CATAWBA COUNTY JAIL",142
"218","ATL","CATAWBA COUNTY, NC",54
"219","ATL","CATOOSA COUNTY, GA",40
"220","ATL","CAX GENERAL AREA, NON-SPECIFIC",1
"221","ATL","CCG GENERAL AREA, NON-SPECIFIC",29
"222","ATL","CCN GENERAL AREA, CABARRUS 287G",12
"223","ATL","CEDARTOWN PROBATION OFFICE",1
"224","ATL","CEDARTOWN, GA",118
"225","ATL","CENTERVILLE, GA (GWINNETT COUNTY)",4
"226","ATL","CENTRAL NEW MEXICO CORRECTIONAL STATE FACILITY",1
"227","ATL","CHA GENERAL AREA, NON-SPECIFIC",48
"228","ATL","CHAMBLEE, GA",348
"229","ATL","CHARLESTON COUNTY DEPT. OF JUVENILE JUSTICE",9
"230","ATL","CHARLESTON COUNTY DETENTION CENTER",2148
"231","ATL","CHARLESTON COUNTY PROBATION & PAROLE OFFICE	",3
"232","ATL","CHARLESTON COUNTY, SC",3182
"233","ATL","CHARLESTON, SC",35
"234","ATL","CHARLOTTE AIRPORT",15
"235","ATL","CHARLOTTE GENERAL AREA",16
"236","ATL","CHARLTON COUNTY GA",218
"237","ATL","CHARLTON COUNTY, GA",1
"238","ATL","CHATHAM CO PROBATION SILER CITY",4
"239","ATL","CHATHAM COUNTY FUGITIVE OPERATIONS",50
"240","ATL","CHATHAM COUNTY GA",392
"241","ATL","CHATHAM COUNTY JAIL",65
"242","ATL","CHATHAM COUNTY, GA",22
"243","ATL","CHATSWORTH MUNICIPAL PROBATION",4
"244","ATL","CHATSWORTH, GA",49
"245","ATL","CHATTAHOOCHEE COUNTY SHERIFFS, GA",1
"246","ATL","CHATTOOGA COUNTY, GA",27
"247","ATL","CHAUNCEY, GA (CLINCH COUNTY)",1
"248","ATL","CHEROKEE COUNTY",91
"249","ATL","CHEROKEE COUNTY DETENTION CENTER",1
"250","ATL","CHEROKEE COUNTY JAIL",10
"251","ATL","CHEROKEE COUNTY, GA",509
"252","ATL","CHEROKEE COUNTY, NC",5
"253","ATL","CHEROKEE COUNTY, SC",2
"254","ATL","CHESAPEAKE CITY JAIL VA",1
"255","ATL","CHESTER COUNTY",23
"256","ATL","CHESTER COUNTY DETENTION CENTER",1
"257","ATL","CHESTER COUNTY, SC",4
"258","ATL","CHESTER, GA",1
"259","ATL","CHESTER, SC",45
"260","ATL","CHESTERFIELD COUNTY JAIL-VA",1
"261","ATL","CHESTERFIELD, SC",44
"262","ATL","CHI GENERAL AREA, NON-SPECIFIC",3
"263","ATL","CHL GENERAL AREA, NON-SPECIFIC",101
"264","ATL","CHOWAN COUNTY FUGITIVE OPERATIONS",3
"265","ATL","CHOWAN COUNTY JAIL",6
"266","ATL","CI MCRAE",3277
"267","ATL","CITY OF GRAND JUNCTION",2
"268","ATL","CLA GENERAL AREA, NON-SPECIFIC",2
"269","ATL","CLARENDON COUNTY DEPT. OF JUVENILE JUSTICE",3
"270","ATL","CLARENDON COUNTY DETENTION CENTER",77
"271","ATL","CLARENDON COUNTY PROBATION & PAROLE OFFICE	",2
"272","ATL","CLARENDON COUNTY, SC",5
"273","ATL","CLARENDON, SC",11
"274","ATL","CLARKE COUNTY, GA",17
"275","ATL","CLARKESVILLE",1
"276","ATL","CLARKESVILLE, GA",11
"277","ATL","CLARKSTON, GA",15
"278","ATL","CLAXTON PROBATION OFFICE",2
"279","ATL","CLAY COUNTY JAIL",10
"280","ATL","CLAY COUNTY PROBATION",1
"281","ATL","CLAY COUNTY, GA",42
"282","ATL","CLAY COUNTY, NC",1
"283","ATL","CLAYTON COUNTY, GA",1146
"284","ATL","CLAYTON PROBATION OFFICE",6
"285","ATL","CLAYTON, GA",52
"286","ATL","CLEVELAND COUNTY JAIL",57
"287","ATL","CLEVELAND COUNTY, NC",12
"288","ATL","CLEVELAND, GA",2
"289","ATL","CLINCH COUNTY, GA",1
"290","ATL","CLM GENERAL AREA, NON-SPECIFIC",1
"291","ATL","CLT GENERAL AREA, NON-SPECIFIC",5
"292","ATL","CLYO, GA",1
"293","ATL","CNJ GENERAL AREA, NON-SPECIFIC",1
"294","ATL","COA GENERAL AREA, NON-SPECIFIC",3
"295","ATL","COBB COUNTY JAIL - 287(G)",3724
"296","ATL","COBB COUNTY STATE COURT PROBATION",4
"297","ATL","COBB COUNTY, GA",499
"298","ATL","COFFEE COUNTY GA",175
"299","ATL","COFFEE COUNTY, GA",7
"300","ATL","COHUTTA, GA",1
"301","ATL","COLLEGE PARK, GA (FULTON COUNTY)",20
"302","ATL","COLLEGE PARK, GA (HABERSHAM COUNTY)",1
"303","ATL","COLLETON COUNTY JAIL",81
"304","ATL","COLLETON COUNTY, SC",14
"305","ATL","COLLETON, SC",1
"306","ATL","COLQUITT COUNTY JAIL, GA",168
"307","ATL","COLQUITT COUNTY, GA",4
"308","ATL","COLQUITT, GA",5
"309","ATL","COLUMBIA COUNTY, GA",65
"310","ATL","COLUMBUS COUNTY FUGITIVE OPERATIONS",1
"311","ATL","COLUMBUS COUNTY JAIL",26
"312","ATL","COLUMBUS COUNTY, NC",33
"313","ATL","COLUMBUS, GA",39
"314","ATL","COMMERCE, GA",7
"315","ATL","COMMUNITY SUPERVISION & CORRECTIONS DEPARTMENT-DEL RIO",1
"316","ATL","CONYERS PAROLE",4
"317","ATL","CONYERS PROBATION OFFICE",6
"318","ATL","CONYERS, GA",100
"319","ATL","COOK COUNTY JAIL, GA",33
"320","ATL","COOK COUNTY SHERIFFS, GA",9
"321","ATL","COOLIDGE, GA",2
"322","ATL","CORDELE, GA",1
"323","ATL","CORNELIA, GA",15
"324","ATL","COVINGTON PROBATION OFFICE",8
"325","ATL","COVINGTON, GA",58
"326","ATL","COWETA COUNTY PROBATION",2
"327","ATL","COWETA COUNTY, GA",513
"328","ATL","CRAVEN COUNTY FUGITIVE OPERATIONS",3
"329","ATL","CRAVEN COUNTY JAIL",30
"330","ATL","CRAWFORD COUNTY, GA",2
"331","ATL","CRAWFORDVILLE, GA",1
"332","ATL","CRISP COUNTY JAIL, GA",170
"333","ATL","CSP SOLANO",1
"334","ATL","CUMBERLAND CO PROBATION DICK ST FAYETTEVILLE",1
"335","ATL","CUMBERLAND COUNTY FUGITIVE OPERATIONS",46
"336","ATL","CUMBERLAND COUNTY JAIL",115
"337","ATL","CUMMING PROBATION OFFICE",33
"338","ATL","CUMMING, GA",233
"339","ATL","CURRITUCK COUNTY JAIL",9
"340","ATL","Cabarrus County Jail 287G",4
"341","ATL","Carteret County Jail",32
"342","ATL","Carteret County Probation Courthouse Square Beaufort, NC",1
"343","ATL","Carteret County, NC",2
"344","ATL","Carteret DOC",1
"345","ATL","Charleston County Detention Center",455
"346","ATL","Chatham County, NC",4
"347","ATL","Columbus County Jail",16
"348","ATL","Columbus County Probation 110 W. Smith St. Whiteville, NC",2
"349","ATL","Columbus County, NC",5
"350","ATL","Columbus DOC",28
"351","ATL","D-RAY JAMES FCI, GA",3
"352","ATL","D. RAY JAMES",7027
"353","ATL","DACULA, GA",7
"354","ATL","DADE COUNTY, GA",14
"355","ATL","DAHLONEGA, GA",4
"356","ATL","DAL COUNTY JAIL",1
"357","ATL","DALLAS COUNTY GENERAL AREA",2
"358","ATL","DALLAS, GA",24
"359","ATL","DALTON MUNICIPAL PROBATION",1
"360","ATL","DALTON PROBATION OFFICE",6
"361","ATL","DALTON, GA (WHITFIELD COUNTY)",145
"362","ATL","DAMASCUS, GA (GORDON COUNTY)",1
"363","ATL","DANIELSVILLE PROBATION OFFICE",2
"364","ATL","DANIELSVILLE, GA",7
"365","ATL","DARE COUNTY FUGITIVE OPERATIONS",3
"366","ATL","DARE COUNTY JAIL",88
"367","ATL","DARLINGTON COUNTY DETENTION CENTER",4
"368","ATL","DARLINGTON COUNTY PROBATION & PAROLE OFFICE",1
"369","ATL","DARLINGTON COUNTY, SC",101
"370","ATL","DARLINGTON, SC",33
"371","ATL","DAVIDSON COUNTY JAIL",89
"372","ATL","DAVIDSON COUNTY JAIL, NC",7
"373","ATL","DAVIDSON COUNTY, NC",38
"374","ATL","DAVIE COUNTY JAIL",29
"375","ATL","DAVIE COUNTY JAIL, NC",3
"376","ATL","DAVIE COUNTY, NC",13
"377","ATL","DAWSON COUNTY, GA",56
"378","ATL","DAWSON PROBATION OFFICE",1
"379","ATL","DAWSON, GA",1
"380","ATL","DAWSONVILLE, GA",25
"381","ATL","DC JAIL - CENTRAL DETENTION - CENTRAL TREATMENT - DISTRICT OF COLUMBIA - DC",1
"382","ATL","DECATUR COUNTY JAIL, GA",23
"383","ATL","DECATUR COUNTY, GA",14
"384","ATL","DECATUR, GA",251
"385","ATL","DEERFIELD CORRECTIONAL CENTER-VA",1
"386","ATL","DEKALB CENTRAL PROBATION OFFICE",20
"387","ATL","DEKALB COUNTY STATE COURT PROBATION",2
"388","ATL","DEKALB COUNTY, GA",1565
"389","ATL","DEKALB PROBATION OFFICE",18
"390","ATL","DENVER COUNTY",1
"391","ATL","DEPT OF CORRECTIONS, TORRINGTON, WYOMING",1
"392","ATL","DETENTION AND REMOVAL OPERATIONS, HARLINGEN FIELD OFFICE",1
"393","ATL","DILLON COUNTY DEPT. OF JUVENILE JUSTICE",1
"394","ATL","DILLON COUNTY JAIL",55
"395","ATL","DILLON COUNTY, SC",15
"396","ATL","DIXON CORRECTIONAL CENTER, IL (ILLINOIS DOC)",1
"397","ATL","DO NOT USE",61
"398","ATL","DO NOT USE!!!!!",1
"399","ATL","DOBSON, NC",10
"400","ATL","DODGE COUNTY GA",2
"401","ATL","DODGE COUNTY, GA",28
"402","ATL","DOOLY COUNTY JAIL, GA",99
"403","ATL","DORAVILLE, GA",191
"404","ATL","DORCHESTER COUNTY DETENTION CENTER",185
"405","ATL","DORCHESTER COUNTY, SC",68
"406","ATL","DOUGHERTY COUNTY JAIL, GA",162
"407","ATL","DOUGLAS COUNTY, GA",177
"408","ATL","DOUGLAS PROBATION OFFICE",2
"409","ATL","DOUGLAS, GA",27
"410","ATL","DOUGLASVILLE PROBATION OFFICE",8
"411","ATL","DOUGLASVILLE, GA (DOUGLAS COUNTY)",136
"412","ATL","DOUGLASVILLE, GA (EARLY COUNTY)",1
"413","ATL","DOWNTOWN AREA",1
"414","ATL","DSM GENERAL AREA, NON-SPECIFIC IOWA",1
"415","ATL","DTN GENERAL AREA, NON-SPECIFIC",815
"416","ATL","DUBLIN, GA",1
"417","ATL","DULUTH, GA",71
"418","ATL","DUNWOODY, GA",18
"419","ATL","DUPLIN COUNTY FUGITIVE OPERATIONS",132
"420","ATL","DUPLIN COUNTY JAIL",193
"421","ATL","DUPLIN COUNTY PROBATION KENANSVILLE NC",1
"422","ATL","DUPLIN COUNTY SHERIFF",1
"423","ATL","DURHAM CO PROBATION 119 ORANGE ST DURHAM",4
"424","ATL","DURHAM CO PROBATION DURHAM CHAPEL HILL BLVD DURHAM",1
"425","ATL","DURHAM COUNTY FUGITIVE OPERATIONS",422
"426","ATL","DURHAM COUNTY JAIL",530
"427","ATL","DURHAM POLICE DEPARTMENT",1
"428","ATL","EARLY COUNTY, GA",7
"429","ATL","EAST DUBLIN, GA",1
"430","ATL","EAST POINT, GA",37
"431","ATL","EASTERN REGIONAL RECEPTION AND DIAGNOSTIC CENTER, MISSOURI",1
"432","ATL","EATONTON, GA",6
"433","ATL","ECHOLS COUNTY SHERIFFS, GA",4
"434","ATL","ECHOLS COUNTY, GA",1
"435","ATL","EDGECOMB COUNTY FUGITIVE OPERATIONS",20
"436","ATL","EDGECOMB COUNTY JAIL",20
"437","ATL","EDGECOMBE CO PROBATION ROCKY MOUNT, NC",1
"438","ATL","EDGECOMBE CO PROBATION TARBORO, NC",1
"439","ATL","EDGEFIELD COUNTY",6
"440","ATL","EDGEFIELD COUNTY, SC",2
"441","ATL","EDGEFIELD FEDERAL CORRECTIONAL INSTITUTION",56
"442","ATL","EDGEFIELD, SC",326
"443","ATL","EFFINGHAM COUNTY, GA",39
"444","ATL","ELBERT COUNTY, GA",15
"445","ATL","ELBERTON, GA",10
"446","ATL","ELKIN, NC",3
"447","ATL","ELLIJAY, GA",30
"448","ATL","EMANUEL COUNTY, GA",12
"449","ATL","ENIGMA, GA",1
"450","ATL","EPC GENERAL AREA, NON-SPECIFIC",1
"451","ATL","ERO LOUISVILLE, KY SUB OFFICE",1
"452","ATL","ERO Office Delegates Drive",9
"453","ATL","ESTILL FEDERAL CORRECTIONAL INSTITUTION",560
"454","ATL","ETW GENERAL AREA, NON-SPECIFIC",1
"455","ATL","EUHARLEE, GA",2
"456","ATL","EVANS CORRECTIONAL INSTITUTION",1
"457","ATL","EVANS COUNTY, GA",19
"458","ATL","EVERGLADES CORRECTIONAL INSTITUTION",1
"459","ATL","FAIRBURN, GA",5
"460","ATL","FAIRFEILD COUNTY, SC",7
"461","ATL","FAIRFEILD, SC",2
"462","ATL","FANNIN COUNTY, GA",15
"463","ATL","FAYETTE COUNTY, GA",155
"464","ATL","FAYETTEVILLE PROBATION OFFICE",2
"465","ATL","FAYETTEVILLE, GA",73
"466","ATL","FCI BEAUMONT, JEFFERSON COUNTY, TX",1
"467","ATL","FCI BENNETTSVILLE",690
"468","ATL","FCI EDGEFIELD",678
"469","ATL","FCI JESUP, GA",358
"470","ATL","FCI LA TUNA",2
"471","ATL","FCS GENERAL AREA, NON-SPECIFIC",144
"472","ATL","FEDERAL PROBATION & PAROLE - CHARLESTON DIVISION",2
"473","ATL","FEDERAL PROBATION & PAROLE - COLUMBIA DIVISION",1
"474","ATL","FEDERAL PROBATION & PAROLE - GREENVILLE DIVISION",1
"475","ATL","FIELD ARREST",39
"476","ATL","FITZGERALD, GA",2
"477","ATL","FL DEPARTMENT OF CORRECTIONS",1
"478","ATL","FLORENCE COUNTY DEPT. OF JUVENILE JUSTICE",2
"479","ATL","FLORENCE COUNTY DETENTION CENTER",163
"480","ATL","FLORENCE COUNTY PROBATION & PAROLE OFFICE",1
"481","ATL","FLORENCE COUNTY, SC",37
"482","ATL","FLORENCE MCCLURE WOMENS CORRECTIONAL CENTER",2
"483","ATL","FLOWERY BRANCH, GA",4
"484","ATL","FLOYD COUNTY, GA",272
"485","ATL","FOK GENERAL AREA, NON-SPECIFIC",6
"486","ATL","FOLKSTON, GA",195
"487","ATL","FOREST PARK, GA",206
"488","ATL","FORSYTH COUNTY JAIL",733
"489","ATL","FORSYTH COUNTY JAIL, NC",41
"490","ATL","FORSYTH COUNTY, GA",300
"491","ATL","FORSYTH COUNTY, NC",46
"492","ATL","FORSYTH PROBATION OFFICE",4
"493","ATL","FORSYTH, GA",37
"494","ATL","FORT OGLETHORPE, GA",4
"495","ATL","FORT VALLEY PROBATION OFFICE",1
"496","ATL","FORT VALLEY, GA",4
"497","ATL","FRANKLIN CO PROBATION LOUISBURG",2
"498","ATL","FRANKLIN COUNTY FUGITIVE OPERATIONS",32
"499","ATL","FRANKLIN COUNTY JAIL",57
"500","ATL","FRANKLIN, GA",4
"501","ATL","FRANKLIN, NC",1
"502","ATL","FRANLKIN COUNTY, GA",36
"503","ATL","FT. BENNING, GA",15
"504","ATL","FTM-HENDRY COUNTY JAIL",1
"505","ATL","FTM-VCAS",1
"506","ATL","FUGITIVE OPERATIONS",1
"507","ATL","FUGITIVE OPERATIONS NY STATE",2
"508","ATL","FUGOP - NON FUGITIVE",2
"509","ATL","FULTON COUNTY, GA",899
"510","ATL","FootHills CI, Morganton, NC",1
"511","ATL","GAINESVILLE PROBATION OFFICE",13
"512","ATL","GAINESVILLE, GA",96
"513","ATL","GAINSVILLE OFFICE (FEDERAL PROBATION & PAROLE)",1
"514","ATL","GARDEN CITY, GA",3
"515","ATL","GASTON COUNTY JAIL",28
"516","ATL","GASTON COUNTY JAIL 287G",567
"517","ATL","GASTON COUNTY, NC",50
"518","ATL","GCJ GENERAL AREA, NON-SPECIFIC",132
"519","ATL","GCN GENERAL AREA, GASTON 287G",24
"520","ATL","GDC GENERAL AREA, NON-SPECIFIC",39
"521","ATL","GENEVA, GA",1
"522","ATL","GEORGETOWN COUNTY DETENTION CENTER",183
"523","ATL","GEORGETOWN COUNTY, SC",18
"524","ATL","GEORGIA CORRECTIONS CORPORATION, INC",3
"525","ATL","GILMER COUNTY, GA",45
"526","ATL","GLENNVILLE, GA",1
"527","ATL","GLYNN COUNTY GA",222
"528","ATL","GLYNN COUNTY, GA",8
"529","ATL","GNS GENERAL AREA, NON-SPECIFIC",232
"530","ATL","GORDON COUNTY PROBATION",1
"531","ATL","GORDON COUNTY, GA",152
"532","ATL","GRADY COUNTY JAIL, GA",56
