"","apprehension_landmark","total"
"48","287(G)-ANNE ARUNDEL COUNTY DETENTION FACILITIES",1
"49","287(G)-CLAY COUNTY SHERIFF'S OFFICE",88
"50","287(G)-KNOX COUNTY SHERIFF'S OFFICE",123
"51","287(G)-PASCO COUNTY SHERIFF'S OFFICE",221
"52","287G COLLIER FMY ERO PROGRAM",3384
"53","287G OFFICER BARNSTABLE COUNTY",1
"54","287g",36
"55","28TH DISTRICT COURT PROBATION, SOUTHGATE",1
"56","29TH DISTRICT COURT PROBATION, WAYNE",1
"57","2A DISTRICT COURT PROBATION, ADRIAN",4
"58","30TH CIRCUIT COURT FAMILY DIVISION, LANSING",1
"59","30TH CIRCUIT COURT, LANSING, MICHIGAN",2
"60","30TH DISTRICT COURT PROBATION, HIGHLAND PARK",1
"61","33RD DISTRICT COURT PROBATION, WOODHAVEN",3
"62","35TH DISTRICT COURT PROBATION, PLYMOUTH",4
"63","36TH DISTRICT COURT PROBATION, DETROIT",17
"64","37TH DISTRICT COURT PROBATION, WARREN",2
"65","38TH DISTRICT COURT PROBATION, EASTPOINTE",1
"66","39A DISTRICT COURT PROBATION, ROSEVILLE",3
"67","39TH CIRCUIT COURT PROBATION OFFICE, ADRIAN",4
"68","3RD CIRCUIT COURT PROBATION, LAWTON OFFICE, DETROIT",1
"69","3RD CIRCUIT COURT PROBATION, LINCOLN PARK OFFICE, DETROIT",2
"70","40TH CIRCUIT COURT PROBATION OFFICE, LAPEER",3
"71","40TH DISTRICT COURT PROBATION, ST. CLAIR SHORES",1
"72","41A DISTRICT COURT PROBATION, STERLING HEIGHTS",2
"73","41B DISTRICT COURT PROBATION, CLINTON TOWNSHIP",1
"74","42-1 DISTRICT COURT PROBATION, ROMEO",4
"75","42-2 DISTRICT COURT PROBATION, NEW BALTIMORE",1
"76","44TH CIRCUIT COURT PROBATION OFFICE, HOWELL",1
"77","44TH DISTRICT COURT PROBATION, ROYAL OAK",1
"78","45A DISTRICT COURT PROBATION, BERKLEY",1
"79","46TH DISTRICT COURT PROBATION, SOUTHFIELD",1
"80","47TH DISTRICT COURT PROBATION, FARMINGTON HILLS",3
"81","48TH DISTRICT COURT PROBATION, BLOOMFIELD HILLS",5
"82","50TH DISTRICT COURT PROBATION, PONTIAC",2
"83","52-1 DISTRICT COURT PROBATION, NOVI",19
"84","52-2 DISTRICT COURT PROBATION, CLARKSTON",6
"85","52-3 DISTRICT COURT PROBATION, ROCHESTER HILLS",11
"86","52-4 DISTRICT COURT PROBATION, TROY",8
"87","53RD DISTRICT COURT PROBATION, HOWELL",3
"88","54A DISTRICT COURT, LANSING, MICHIGAN",4
"89","54B DISTRICT COURT, EAST LANSING, MICHIGAN",2
"90","54TH CIRCUIT COURT PROBATION OFFICE, CARO",1
"91","56A DISTRICT COURT, CHARLOTTE, MICHIGAN",4
"92","56TH CIRCUIT COURT PROBATION",1
"93","5TH JUDICIAL DISTRICT MISDEMEANOR PROBATION OFFICE",1
"94","60TH DISTRICT COURT PROBATION, MUSKEGON, MICHIGAN",1
"95","61ST DISTRICT COURT PROBATION",17
"96","61ST DISTRICT COURT, GRAND RAPIDS, MI",13
"97","62-A DISTRCIT COURT, WYOMING, MI",12
"98","62A DISTRICT COURT PROBATION, WYOMING, MI",37
"99","62B DISTRICT COURT PROBATION, KENTWOOD, MI",5
"100","63RD DISTRICT COURT PROBATION, GRAND RAPIDS",16
"101","64A DISTRICT COURT PROBATION",1
"102","67-4 DISTRICT COURT PROBATION, FENTON",1
"103","6TH CIRCUIT COURT PROBATION OFFICE, PONTIAC",5
"104","70TH DISTRICT COURT PROBATION, SAGINAW",3
"105","75TH DISTRICT COURT PROBATION, MIDLAND",1
"106","77TH ST REGIONAL JAIL, LAPD",53
"107","77TH STREET DIV-LAPD, LOS ANGELES, CA",2
"108","78TH DISTRICT COURT PROBATION, OCEANA COUNTY",1
"109","86TH DISTRICT COURT PROBATION, GRAND TRAVERSE COUNTY",2
"110","86TH DISTRICT COURT PROBATION, LEELANAU COUNTY",2
"111","87B DISTRICT COURT PROBATION, KALKASAK COUNTY",1
"112","92ND DISTRICT COURT PROBATION, MACKINAC COUNTY",1
"113","A - CALUMET COUNTY GENERAL AREA",11
"114","A - CALUMET COUNTY JAIL",47
"115","A - DODGE COUNTY GENERAL AREA",14
"116","A - DODGE COUNTY JAIL",79
"117","A - ERO-MIL KNAPP ST OFFICE",546
"118","A - FOND DU LAC COUNTY GENERAL AREA",17
"119","A - FOND DU LAC COUNTY JAIL",115
"120","A - GREEN LAKE COUNTY GENERAL AREA",1
"121","A - GREEN LAKE COUNTY JAIL",14
"122","A - KENOSHA COUNTY GENERAL AREA",89
"123","A - KENOSHA COUNTY JAIL",182
"124","A - MANITOWOC COUNTY GENERAL AREA",31
"125","A - MANITOWOC COUNTY JAIL",78
"126","A - MARQUETTE COUNTY JAIL",12
"127","A - MILWAUKEE COUNTY HOUSE OF CORRECTIONS (HOC)",124
"128","A - MILWAUKEE COUNTY JAIL (CJF)",559
"129","A - MILWAUKEE POLICE DEPARTMENT",2
"130","A - OZAUKEE COUNTY GENERAL AREA",18
"131","A - OZAUKEE COUNTY JAIL",32
"132","A - RACINE COUNTY GENERAL AREA",127
"133","A - RACINE COUNTY JAIL",203
"134","A - SHEBOYGAN COUNTY DETENTION CENTER",26
"135","A - SHEBOYGAN COUNTY GENERAL AREA",21
"136","A - SHEBOYGAN COUNTY JAIL",105
"137","A - U.S. MARSHALL - EASTERN DISTRICT OF WISCONSIN",52
"138","A - WALWORTH COUNTY GENERAL AREA",51
"139","A - WALWORTH COUNTY JAIL",240
"140","A - WASHINGTON COUNTY GENERAL AREA",22
"141","A - WASHINGTON COUNTY JAIL",43
"142","A - WAUKESHA COUNTY GENERAL AREA",114
"143","A - WAUKESHA COUNTY JAIL",204
"144","A - WAUSHARA COUNTY GENERAL AREA",4
"145","A - WAUSHARA COUNTY JAIL",30
"146","A - WI DOC - DODGE CORRECTIONAL INSTITUTION",116
"147","A - WI DOC - FOX LAKE CORRECTIONAL INSTITUTION",18
"148","A - WI DOC - KENOSHA COUNTY CORRECTIONAL CENTER",1
"149","A - WI DOC - KETTLE MORAINE CORRECTIONAL INSTITUTION",9
"150","A - WI DOC - MILWAUKEE SECURE DETENTION FACILITY",6
"151","A - WI DOC - RACINE CORRECTIONAL INSTITUTION",523
"152","A - WI DOC - RED GRANITE CORRECTIONAL INSTITUTION",23
"153","A - WI DOC - TAYCHEEDAH CORRECTIONAL INSTITUTION",16
"154","A - WI DOC - WAUPUN CORRECTIONAL INSTITUTION",5
"155","A - WI DOC - WINNEBAGO CORRECTIONAL CENTER",1
"156","A - WI DOC - WISCONSIN RESCOURCE CENTER",3
"157","A - WI DOC OSHKOSH CORRECTIONAL INSTITUTION",18
"158","A - WI DOC-DODGE CORRECTIONAL INSTITUTION",2
"159","A - WI DOC-RACINE CORRECTIONAL INSTITUTION",1
"160","A - WINNEBAGO COUNTY GENERAL AREA",9
"161","A - WINNEBAGO COUNTY JAIL",68
"162","A C WAGNER YOUTH CORRECTIONAL FACILITY",1
"163","A-Washington County Jail",10
"164","AB4 REFERRAL RIVERSIDE COUNTY",98
"165","AB4 REFERRAL SAN BERNARDINO COUNTY",232
"166","ABBA, GA",1
"167","ABBEVILLE COUNTY",2
"168","ABBEVILLE COUNTY DETENTION CENTER",3
"169","ABBEVILLE, GA",9
"170","ABE GENERAL AREA, NON-SPECIFIC",5
"171","ABERDEEN CITY JAIL, WA",49
"172","ABERDEEN PROVING GROUND POLICE",7
"173","ABERDEEN TWP PD",11
"174","ABG GENERAL AREA, NON-SPECIFIC",3
"175","ABINGTON POLICE DEPARTMENT",2
"176","ABQ GENERAL AREA, NON-SPECIFIC",1441
"177","ABRAM CURVE TO CHIMNEY PARK",3
"178","ABSECON POLICE DEPARTMENT",4
"179","ABT GENERAL AREA, NON-SPECIFIC",14
"180","ACADIA PARISH JAIL",11
"181","ACCOMACK COUNTY JAIL - VA",2
"182","ACCOMACK COUNTY JAIL VA",130
"183","ACWORTH POLICE DEPARTMENT",17
"184","ACWORTH, GA",37
"185","ADA COUNTY COURTHOUSE",5
"186","ADA COUNTY FELONY PROBATION OFFICE ID",3
"187","ADA COUNTY GENERAL AREA ID",29
"188","ADA COUNTY JAIL",4
"189","ADA COUNTY JAIL ID",326
"190","ADA COUNTY MISDEMEANOR PROBATION OFFICE ID",7
"191","ADA COUNTY WORK RELEASE ID",2
"192","ADAIR COUNTY IOWA",4
"193","ADAIR COUNTY JAIL",39
"194","ADAIR COUNTY JAIL, IA",1
"195","ADAIR COUNTY JAIL, KY",5
"196","ADAIR COUNTY REGIONAL JAIL, KY",25
"197","ADAIR COUNTY SHERIFF'S DEPARTMENT, MISSOURI",5
"198","ADAIRSVILLE, GA",6
"199","ADAMS CO. JAIL",99
"200","ADAMS COUNTY",673
"201","ADAMS COUNTY CORRECTIONAL CENTER, NATCHEZ, MS",938
"202","ADAMS COUNTY CORRECTIONAL COMPLEX",1
"203","ADAMS COUNTY IOWA",3
"204","ADAMS COUNTY JAIL",2469
"205","ADAMS COUNTY JAIL ID",2
"206","ADAMS COUNTY JAIL, NE",45
"207","ADAMS COUNTY MISDEMEANOR PROBATION OFFICE ID",6
"208","ADAMS COUNTY PROBATION",33
"209","ADAMS COUNTY PROBATION OFFICE",134
"210","ADAMS COUNTY SHERIFF'S OFFICE",21
"211","ADAMS COUNTY SHERIFF'S OFFICE, IL",3
"212","ADAMS COUNTY SHERIFF'S OFFICE, INDIANA",3
"213","ADAMS COUNTY, MS",15
"214","ADAMS YOUTH SERVICES CENTER",11
"215","ADC BOOT CAMP - WRIGHTSVILLE",1
"216","ADC CUMMINS UNIT",75
"217","ADC DELTA REGIONAL UNIT",36
"218","ADC DIAGNOSTIC UNIT",10
"219","ADC EAST ARKANSAS REGIONAL UNIT",22
"220","ADC GRIMES UNIT",94
"221","ADC MCPHERSON UNIT",19
"222","ADC NORTH CENTRAL UNIT",39
"223","ADC OUACHITA RIVER UNIT",88
"224","ADC RANDALL L. WILLIAMS UNIT",23
"225","ADC SALT LAKE COUNTY JAIL",681
"226","ADC TEXARKANA REGIONAL UNIT",2
"227","ADC TUCKER UNIT",50
"228","ADC VARNER UNIT",55
"229","ADC WRIGHTSVILLE UNIT",73
"230","ADDISON CITY JAIL",134
"231","ADDISON COUNTY JAIL",5
"232","ADE GENERAL AREA, NON-SPECIFIC",2573
"233","ADEL PROBATION OFFICE",1
"234","ADEL, GA",1
"235","ADELANTO CCF (STATE) ADELANTO, CA",5
"236","ADELANTO CCF, ADELANTO, CA",2
"237","ADELANTO DETENTION CENTER, ADELNATO, CA",1
"238","ADELANTO, CA ICE FACILITY",2347
"239","ADOC TUCSON",3
"240","ADRIAN, GA",1
"241","ADSLKFJA;KL",1
"242","ADULT CORRECTIONAL INSTITUTE",5
"243","ADULT DIAGNOSTIC AND TREATMENT CENTER",167
"244","ADULT PROBATION & PAROLE - UT",2
"245","ADULT PROBATIONS AND PAROLE",4
"246","ADULT PROBATIONS AND PAROLE -  UTAH",3
"247","AGA CONCOURSE AREA, NON-SPECIFIC",1
"248","AGA GENERAL AREA, NON-SPECIFIC",455
"249","AGU GENERAL AREA, NON-SPECIFIC",62
"250","AGUADILLA PROBATION OFFICE",2
"251","AGUADILLA, PR/ DETAINER",1
"252","AGUADILLA, PUERTO RICO",1
"253","AIBONITO, PR/ BOOKING STATION",1
"254","AIKEN COUNTY DETENTION CENTER",3
"255","AIKEN COUNTY PROBATION & PAROLE OFFICE",2
"256","AIKEN COUNTY, SC",338
"257","AIKEN, SC",102
"258","AIRPORT TO MONUMENT 82",1
"259","AIRPORT TO PATAGONIA LAKE",1
"260","AIRWAY HEIGHTS",237
"261","AITKIN COUNTY JAIL, MN",1
"262","AJO BORDER PATROL AZ STATE",2
"263","AJO GEN",4
"264","AK PROBATION ANCHORAGE",8
"265","AL State Probation Mobile, AL",1
"266","AL State at-large",39
"267","ALACHUA COUNTY JAIL",10
"268","ALACHUA COUNTY PROBATION & PAROLE",25
"269","ALAMANCE CO PROBATION PRISON CAMP RD",1
"270","ALAMANCE COUNTY JAIL",146
"271","ALAMANCE COUNTY JAIL, NC",11
"272","ALAMANCE COUNTY, NC",31
"273","ALAMEDA CITY JAIL",3
"274","ALAMEDA COUNTY JAIL - GLENN E. DYER DETENTION FACILITY",588
"275","ALAMEDA COUNTY JAIL - SANTA RITA",4285
"276","ALAMEDA COUNTY JUVENILE HALL",5
"277","ALAMEDA COUNTY SHERIFF'S DEPARTMENT",3
"278","ALAMEDA POLICE DEPARTMENT",1
"279","ALAMO CITY JAIL TX - TX1080100",226
"280","ALAMO CITY JAIL, TX",2
"281","ALAMO, GA",1
"282","ALAMOGORDO, NEW MEXICO",1
"283","ALAMOSA COUNTY",24
"284","ALAMOSA COUNTY JAIL",58
"285","ALAMOSA COUNTY PROBATION OFFICE",2
"286","ALAMOSA, CO POLICE DEPARTMENT",8
"287","ALB GENERAL AREA, NON-SPECIFIC",369
"288","ALBANY CITY COURT",29
"289","ALBANY COUNTY",286
"290","ALBANY COUNTY JAIL",116
"291","ALBANY COUNTY JAIL, LARAMIE, WYOMING",53
"292","ALBANY COUNTY PROBATION",15
"293","ALBANY COUNTY SHERIFS OFFICE",10
"294","ALBANY COUNTY, WYOMING",6
"295","ALBANY FUGOPS",64
"296","ALBANY ICE SUB OFFICE",4
"297","ALBANY ICE SUB-OFFICE",354
"298","ALBANY POLICE DEPARTMENT",26
"299","ALBANY PROBATION OFFICE",1
"300","ALBANY, GA",3
"301","ALBEMARLE/CHARLOTTESVILLE REGIONAL JAIL - VA",296
"302","ALBEMARLE/CHARLOTTESVILLE REGIONAL JAIL-VA",7
"303","ALBION CORRECTIONAL FACILITY",99
"304","ALBION POLICE DEPARTMENT",6
"305","ALBUQUERQUE BOYS CENTER    ABQ",2
"306","ALBUQUERQUE GENERAL NON SPECIFIC",4
"307","ALCORN COUNTY, MS",2
"308","ALEXANDER CO PROBATION TAYLORSVILLE",1
"309","ALEXANDER COUNTY JAIL",14
"310","ALEXANDER COUNTY, NC",9
"311","ALEXANDRIA CITY JAIL - VA",973
"312","ALFALFA COUNTY JAIL",6
"313","ALGER COUNTY JAIL,  MUNISING, MI",2
"314","ALGOA CORRECTIONAL CENTER MISSOURI DEPARTMENT OF CORRECTIONS",4
"315","ALHAMBRA POLICE DEPT, ALHAMBRA, CA",38
"316","ALICE  HWY 281",1
"317","ALICE PD, TX",3
"318","ALIEN SMUGGLING",1
"319","ALL OF ZAVALA COUNTY",2
"320","ALL OTHER (ERO)",25
"321","ALL OTHER AREAS NOT REPORTED",2
"322","ALLAMAKEE COUNTY JAIL, IA",42
"323","ALLEGAN COUNTY DISTRICT COURT PROBATION",3
"324","ALLEGAN COUNTY JAIL, ALLEGAN, MI",279
"325","ALLEGAN, MICHIGAN",27
"326","ALLEGANY COUNTY",1
"327","ALLEGANY COUNTY DETENTION CENTER",12
"328","ALLEGANY COUNTY DISTRICT/CIRCUIT COURT",1
"329","ALLEGANY COUNTY JAIL",14
"330","ALLEGANY COUNTY MD",11
"331","ALLEGANY COUNTY SHERIFF",7
"332","ALLEGANY COUNTY SHERIFFS OFFICE",1
"333","ALLEGHANY COUNTY JAIL",79
"334","ALLEGHANY COUNTY JAIL, NC",2
"335","ALLEGHANY COUNTY REGIONAL JAIL-VA",26
"336","ALLEGHANY COUNTY, NC",4
"337","ALLEGHENY COUNTY JAIL",221
"338","ALLEN CORRECTIONAL CENTER",6
"339","ALLEN COUNTY JAIL",28
"340","ALLEN COUNTY JAIL, KY",21
"341","ALLEN COUNTY SHERIFF'S OFFICE, FT. WAYNE, IN",414
"342","ALLEN COUNTY SHERIFFS OFFICE KANSAS",3
"343","ALLEN PARISH JAIL",4
"344","ALLEN PARK, MICHIGAN",13
"345","ALLEN POLICE DEPARTMENT",106
"346","ALLENDALE CORRECTIONAL INSTITUTION",65
"347","ALLENDALE COUNTY DETENTION CENTER",6
"348","ALLENDALE COUNTY, SC",3
"349","ALLENDALE PD",3
"350","ALLENHURST PD",5
"351","ALLENTOWN POLICE DEPARTMENT - ALLENTOWN, PA",6
"352","ALLENTOWN VCAS",34
"353","ALLENWOOD AOR FUGITIVE OPERATIONS",24
"354","ALLENWOOD FUGITIVE OPERATIONS",66
"355","ALLENWOOD VCAS",16
"356","ALMONT, MICHIGAN",4
"357","ALN AOR FUGITIVE OPERATIONS",244
"358","ALN GENERAL AREA, NON-SPECIFIC",112
"359","ALPENA COUNTY JAIL, ALPENA, MI",7
"360","ALPHA PD",2
"361","ALPHARETTA, GA",112
"362","ALPINE PD",5
"363","ALTERNATIVE PROBATION SERVICES, INC",4
"364","ALTERNATIVE TO DETENTION CA STATE ARREST",33
"365","ALTERNATIVES TO DETENTION",1335
"366","ALTON CITY JAIL, TX",89
"367","ALTON, ILLINOIS POLICE DEPARTMENT",2
"368","ALTONA CORRECTIONAL FACILITY",1
"369","ALVARADO POLICE DEPARTMENT",1
"370","ALVIN POLICE DEPT, BRAZORIA COUNTY, TX",174
"371","ALW GENERAL AREA, NON-SPECIFIC",48
"372","ALX GENERAL AREA, NON-SPECIFIC",1
"373","AMADOR COUNTY JAIL",42
"374","AMADOR COUNTY PROBATION OFFICE",1
"375","AMERICUS, GA",1
"376","AMESBURY DISTRICT COURT",2
"377","AMESBURY POLICE DEPT",2
"378","AMHERST COUNTY JAIL-VA",1
"379","AMSTERDAM POLICE DEPARTMENT NY STATE",29
"380","AMT GENERAL AREA, NON-SPECIFIC",57
"381","ANA GENERAL AREA, NON-SPECIFIC",1
"382","ANAHEIM CITY JAIL",385
"383","ANAHEIM DENTENTION FACILITY",1
"384","ANAHEIM HILLS, CA",1
"385","ANAHEIM, CA",86
"386","ANAMOSA STATE PENITENTIARY, IA",3
"387","ANC GENERAL AREA, NON-SPECIFIC",26
"388","ANCHORAGE CORRECTIONAL COMPLEX",92
"389","ANCHORAGE DETAINED DOCKET ARREST",2
"390","ANCHORAGE ERO OFFICE",30
"391","ANCHORAGE FUGITIVE OPERATIONS STREET ARREST",5
"392","ANCHORAGE NON-DETAINED ARREST",30
"393","ANCHORAGE NON-DETAINED DOCKET",73
"394","AND GENERAL AREA, NON-SPECIFIC",1
"395","ANDERSON COUNTY",282
"396","ANDERSON COUNTY CRIM AT LARGE",11
"397","ANDERSON COUNTY DEPT. OF JUVENILE JUSTICE",2
"398","ANDERSON COUNTY GEN AREA, NON-SPECIFIC",4
"399","ANDERSON COUNTY GENERAL AREA",7
"400","ANDERSON COUNTY JAIL",4
"401","ANDERSON COUNTY JAIL, TN",80
"402","ANDERSON COUNTY PROBATION",22
"403","ANDERSON COUNTY PROBATION & PAROLE OFFICE",2
"404","ANDERSON COUNTY SHERIFFS DEPARTMENT",3
"405","ANDERSON COUNTY SHERIFFS OFFICE",30
"406","ANDERSON COUNTY SHERIFFS OFFICE KANSAS",3
"407","ANDERSON, SC",2
"408","ANDREW COUNTY SHERIFFS OFFICE MISSOURI",2
"409","ANDREWS COUNTY JAIL",38
"410","ANDROSCOGGIN COUNTY JAIL, AUBURN",8
"411","ANGELINA COUNTY JAIL, LUFKIN, TX",98
"412","ANGELINA COUNTY PROBATION, LUFKIN, TX",11
"413","ANGLETON POLICE DEPT, BRAZORIA COUNTY, TX",4
"414","ANGLETON, TEXAS",15
"415","ANM GENERAL AREA, NON-SPECIFIC",8
"416","ANN ARBOR, MICHIGAN",146
"417","ANNE ARUNDEL COUNTY DETENTION CENTER",512
"418","ANNE ARUNDEL COUNTY DISTRICT/CIRCUIT COURT",12
"419","ANNE ARUNDEL COUNTY MD",562
"420","ANNE ARUNDEL COUNTY POLICE DEPARTMENT",20
"421","ANOKA COUNTY JAIL, MN",359
"422","ANOKA COUNTY WORK RELEASE, MN",65
"423","ANSON COUNTY JAIL",3
"424","ANSON COUNTY, NC",5
"425","ANSONIA, CT",1
"426","ANTHONY- DISTRICT OFFICE 3D",2
"427","ANTHONY-DISTRICT OFFICE 3D",21
"428","ANTIOCH POLICE DEPARTMENT",1
"429","ANTRIM COUNTY JAIL, BELLAIRE, MI",7
"430","APACHE JUNCTION POLICE DEPARTMENT",13
"431","APF GENERAL AREA, NON-SPECIFIC",29
"432","APPLING COUNTY GA",103
"433","APPLING, GA",9
"434","APPOMATTOX COUNTY JAIL-VA",1
"435","ARACTA POLICE DEPARTMENT",1
"436","ARANSAS COUNTY JAIL, ROCKPORT, TX",188
"437","ARANSAS COUNTY PROBATION, ROCKPORT, TX",3
"438","ARAPAHOE COUNTY",1148
"439","ARAPAHOE COUNTY JAIL",1177
"440","ARAPAHOE COUNTY PROBATION OFFICE",186
"441","ARCADIA POLICE DEPT, ARCADIA, CA",19
"442","ARCHER COUNTY GENERAL AREA",1
"443","ARCHER COUNTY SHERIFFS OFFICE",14
"444","ARCHULETA COUNTY",7
"445","ARCHULETA COUNTY COURTHOUSE",2
"446","ARCHULETA COUNTY JAIL",14
"447","ARCHULETA COUNTY PROBATION OFFICE",23
"448","ARCOLA POLICE DEPT, FT BEND CO, TX",3
"449","ARECIBO PROBATION",4
"450","ARECIBO, PR / BOOKING STATION",1
"451","ARECIBO, PR/ BOOKING STATION",1
"452","ARECIBO,PR/ DETAINER",3
"453","ARENAC COUNTY JAIL, STANDISH, MI",1
"454","ARGYLE POLICE DEPARTMENT",3
"455","ARIZONA DEPARTMENT OF CORRECTIONS",323
"456","ARIZONA DEPARTMENT OF PUBLIC SAFETY",23
"457","ARKANSAS COUNTY JAIL",20
"458","ARLINGTON COUNTY JAIL - VA",986
"459","ARLINGTON COUNTY JAIL-VA",1
"460","ARLINGTON POLICE DEPARTMENT",1229
"461","ARMSTRONG COUNTY",4
"462","ARMSTRONG COUNTY JAIL",13
"463","ARNOLD POLICE DEPARTMENT, MISSOURI",1
"464","ARREST AT 333",117
"465","ARREST AT 333 MIAMI EOIR",2
"466","ARREST AT USCIS",2
"467","ARTESIA CITY JAIL",4
"468","ARTESIA WELLS, TX. (I-35)",1
"469","ARTESITAS",1
"470","ASBURY PARK PD",40
"471","ASCENSION PARISH PRISON",335
"472","ASF GENERAL AREA, NON-SPECIFIC",42
"473","ASH GENERAL AREA, NON-SPECIFIC",1
"474","ASHE COUNTY JAIL",29
"475","ASHE COUNTY JAIL, NC",3
"476","ASHE COUNTY, NC",12
"477","ASHEBORO, NC",98
"478","ASHEVILLE, NC",72
"479","ASHLAND COUNTY JAIL",10
"480","ASHLEY COUNTY JAIL",17
"481","ASOTIN CO. JAIL",8
"482","ASPEN, COLORADO",6
"483","ASSINK ROAD TO VAN BUREN ROAD",1
"484","ASSUMPTION PARISH, LA",19
"485","ASTABULA COUNTY JAIL",23
"486","ATASCOSA COUNTY JAIL",3
"487","ATASCOSA COUNTY JAIL - TX0070000",139
"488","ATCHISON COUNTY SHERIFFS OFFICE MISSOURI",4
"489","ATD - FIELD ARREST AZ STATE",18
"490","ATD - OTHER AGENCY AZ STATE",5
"491","ATD - REPORT-IN AZ STATE",37
"492","ATD CA STATE",12
"493","ATD MA STATE",192
"494","ATD NY STATE",300
"495","ATD, AL STATE",4
"496","ATHENS DIVISION (FEDERAL PROBATION & PAROLE)",5
"497","ATHENS DRC PROBATION",1
"498","ATHENS PROBATION OFFICE",25
"499","ATHENS, GA",151
"500","ATHENS-CLARK COUNTY",102
"501","ATHENS-CLARKE COUNTY PROBATION",33
"502","ATKINSON COUNTY GA",117
"503","ATL GENERAL AREA, NON-SPECIFIC",176
"504","ATLANTA - STEWART DETENTION FACILITY",4
"505","ATLANTA CENTRAL PROBATION",70
"506","ATLANTA COURT SERVICES",10
"507","ATLANTA DISTRICT OFFICE",54
"508","ATLANTA METRO DRC PROBATION",2
"509","ATLANTA PROBATION",6
"510","ATLANTA, GA",12352
"511","ATLANTIC CITY",3
"512","ATLANTIC CITY POLICE DEPARTMENT",69
"513","ATLANTIC COUNTY JAIL",4
"514","ATLANTIC COUNTY PROBATION",9
"515","ATLANTIC COUNTY SHERIFF",14
"516","ATLANTIC COUNTY, NEW JERSEY",404
"517","ATLANTIC HIGHLANDS PD",4
"518","ATOKA COUNTY JAIL",12
"519","ATTALA COUNTY, MS",2
"520","ATTELBORO POLICE DEPT",4
"521","ATTICA CORRECTIONAL FACILITY",1
"522","ATTLEBORO DISTRICT COURT",4
"523","ATWATER - FCI",613
"524","ATWATER POLICE DEPARTMENT",10
"525","AUBURN CITY JAIL",2
"526","AUBURN HILLS, MICHIGAN",20
"527","AUBURN POLICE DEPARTMENT",1
"528","AUBURN, GA",5
"529","AUDRAIN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",15
"530","AUGLAIZE COUNTY JAIL",13
"531","AUGUSTA CORRECTIONAL CENTER - VA",14
